Value,Description
0,REQUESTED
0A,AUTOMATED EXPORT SYSTEM - POST DEPARTURE AUTHORIZED SPECIAL STATU
0B,AUTOMATED EXPORT SYSTEM - POST DEPARTURE AUTHORIZED SPECIAL STATU
0C,AUTOMATED EXPORT SYSTEM - POST DEPARTURE AUTHORIZED SPECIAL STATU
0D,FACILITY S EMERGENCY RESPONSE PLAN INCLUDES INFORMATION ON EMERGE
0E,FACILITY S EMERGENCY RESPONSE PLAN INCLUDES PROCEDURES FOR INFORM
0F,FACILITY HAS A CLEAN AIR ACT TITLE V OPERATING PERMIT
0G,FACILITY HAS A WRITTEN EMERGENCY RESPONSE PLAN
0H,FACILITY HAS REPORTABLE ACCIDENTS
0I,FACILITY IS COVERED BY THE EMERGENCY PLANNING AND
0J,FACILITY IS COVERED BY THE OCCUPATIONAL SAFETY AND
0K,FACILITY IS INCLUDED IN THE COMMUNITY EMERGENCY
0L,HAZARDOUS WASTE MIXED WITH RESOURCE CONSERVATION RECOVERY ACT
0M,OFFSITE RESPONDERS NOTIFIED
0N,PRECIPITATION PRESENT
0O,DISABLED VETERAN
0P,SERVICER HAS ADVANCED FUNDS TO PAY FOR DELINQUENT TAXES ON NON-ES
0Q,PROPERTY HAS FIRE INSURANCE ONLY THAT WAS NOT LENDER PLACED
0R,REPORTED BUT UNCONFIRMED
0S,HAS SMOKE ALARMS
0T,OPERATES AS A HOLDING COMPANY
0U,OPTIMUM
0V,RENEWED
0W,HIGHEST EDUCATIONAL LEVEL
0X,PRINCIPAL CERTIFICATE
0Y,INSERVICE EDUCATION COMPLETED
0Z,MAIN ASSIGNMENT
1,PATIENT WAS ADMITTED TO A HOSPITAL
10,PATIENT IS AMBULATORY
11,AMBULATION IS IMPAIRED AND WALKING AID IS USED FOR THERAPY OR MOB
12,PATIENT IS CONFINED TO A BED OR CHAIR
13,PATIENT IS CONFINED TO A ROOM OR AN AREA WITHOUT BATHROOM FACILIT
14,AMBULATION IS IMPAIRED AND WALKING AID IS USED FOR MOBILITY
15,PATIENT CONDITION REQUIRES POSITIONING OF THE BODY OR ATTACHMENTS
16,PATIENT NEEDS A TRAPEZE BAR TO SIT UP DUE TO RESPIRATORY CONDITIO
17,PATIENT'S ABILITY TO BREATHE IS SEVERELY IMPAIRED
18,PATIENT CONDITION REQUIRES FREQUENT AND/OR IMMEDIATE CHANGES IN B
19,PATIENT CAN OPERATE CONTROLS
1A,PATIENT IS RECEIVING ANTI-FUNGAL THERAPY
1B,PROPERTY IS OCCUPIED BY OWNER
1C,PROPERTY IS OCCUPIED BY TENANT
1D,PROPERTY IS VACANT
1E,LOCATION IS URBAN
1F,LOCATION IS SUBURBAN
1G,LOCATION IS RURAL
