Value,Description
1,CANCEL AFTER
10,REQUESTED SHIP
100,NO SHIPPING SCHEDULE ESTABLISHED AS OF
101,NO PRODUCTION SCHEDULE ESTABLISHED AS OF
102,ISSUE
103,AWARD
104,SYSTEM SURVEY
105,QUALITY RATING
106,REQUIRED BY
107,DEPOSIT
108,POSTMARK
109,RECEIVED AT LOCKBOX
11,SHIPPED
110,ORIGINALLY SCHEDULED SHIP
111,MANIFEST/SHIP NOTICE
112,BUYERS DOCK
113,SAMPLE REQUIRED
114,TOOLING REQUIRED
115,SAMPLE AVAILABLE
116,SCHEDULED INTERCHANGE DELIVERY
118,REQUESTED PICKUP
119,TEST PERFORMED
12,TERMS DISCOUNT DUE
120,CONTROL PLAN
121,FEASIBILITY SIGN OFF
122,FAILURE MODE EFFECTIVE
124,GROUP CONTRACT EFFECTIVE
125,GROUP CONTRACT EXPIRATION
126,WHOLESALE CONTRACT EFFECTIVE
127,WHOLESALE CONTRACT EXPIRATION
128,REPLACEMENT EFFECTIVE
129,CUSTOMER CONTRACT EFFECTIVE
13,TERMS NET DUE
130,CUSTOMER CONTRACT EXPIRATION
131,ITEM CONTRACT EFFECTIVE
132,ITEM CONTRACT EXPIRATION
133,ACCOUNTS RECEIVABLE - STATEMENT DATE
134,READY FOR INSPECTION
135,BOOKING
136,TECHNICAL RATING
137,DELIVERY RATING
138,COMMERCIAL RATING
139,ESTIMATED
14,DEFERRED PAYMENT
140,ACTUAL
141,ASSIGNED
142,LOSS
143,DUE DATE OF FIRST PAYMENT TO PRINCIPAL AND INTEREST
144,ESTIMATED ACCEPTANCE
145,OPENING DATE
146,CLOSING DATE
147,DUE DATE LAST COMPLETE INSTALLMENT PAID
148,DATE OF LOCAL OFFICE APPROVAL OF CONVEYANCE OF DAMAGED REAL ESTAT
149,DATE DEED FILED FOR RECORD
15,PROMOTION START
150,SERVICE PERIOD START
151,SERVICE PERIOD END
152,EFFECTIVE DATE OF CHANGE
153,SERVICE INTERRUPTION
154,ADJUSTMENT PERIOD START
155,ADJUSTMENT PERIOD END
156,ALLOTMENT PERIOD START
157,TEST PERIOD START
158,TEST PERIOD ENDING
159,BID PRICE EXCEPTION
16,PROMOTION END
160,SAMPLES TO BE RETURNED BY
161,LOADED ON VESSEL
162,PENDING ARCHIVE
163,ACTUAL ARCHIVE
164,FIRST ISSUE
165,FINAL ISSUE
166,MESSAGE
167,MOST RECENT REVISION (OR INITIAL VERSION)
168,RELEASE
169,PRODUCT AVAILABILITY DATE
17,ESTIMATED DELIVERY
170,SUPPLEMENTAL ISSUE
171,REVISION
172,CORRECTION
173,WEEK ENDING
174,MONTH ENDING
175,CANCEL IF NOT SHIPPED BY
176,EXPEDITED ON
177,CANCELLATION
178,HOLD (AS OF)
179,HOLD AS STOCK (AS OF)
18,AVAILABLE
180,NO PROMISE (AS OF)
181,STOP WORK (AS OF)
182,WILL ADVISE (AS OF)
183,CONNECTION
184,INVENTORY
185,VESSEL REGISTRY
186,INVOICE PERIOD START
187,INVOICE PERIOD END
188,CREDIT ADVICE
189,DEBIT ADVICE
19,UNLOADED
190,RELEASED TO VESSEL
191,MATERIAL SPECIFICATION
192,DELIVERY TICKET
193,PERIOD START
194,PERIOD END
195,CONTRACT RE-OPEN
196,START
197,END
198,COMPLETION
199,SEAL
2,DELIVERY REQUESTED
20,CHECK
200,ASSEMBLY START
201,ACCEPTANCE
202,MASTER LEASE AGREEMENT
203,FIRST PRODUCED
204,OFFICIAL RAIL CAR INTERCHANGE (EITHER ACTUAL OR AGREED UPON)
205,TRANSMITTED
206,STATUS (OUTSIDE PROCESSOR)
207,STATUS (COMMERCIAL)
208,LOT NUMBER EXPIRATION
209,CONTRACT PERFORMANCE START
21,CHARGE BACK
210,CONTRACT PERFORMANCE DELIVERY
211,SERVICE REQUESTED
212,RETURNED TO CUSTOMER
213,ADJUSTMENT TO BILL DATED
214,DATE OF REPAIR/SERVICE
215,INTERRUPTION START
216,INTERRUPTION END
217,SPUD
218,INITIAL COMPLETION
219,PLUGGED AND ABANDONED
22,FREIGHT BILL
220,PENALTY
221,PENALTY BEGIN
222,BIRTH
223,BIRTH CERTIFICATE
224,ADOPTION
225,CHRISTENING
226,LEASE COMMENCEMENT
227,LEASE TERM START
228,LEASE TERM END
229,RENT START
23,PROMOTION ORDER - START
230,INSTALLATION
231,PROGRESS PAYMENT
232,CLAIM STATEMENT PERIOD START
233,CLAIM STATEMENT PERIOD END
234,SETTLEMENT DATE
235,DELAYED BILLING (NOT DELAYED PAYMENT)
236,LENDER CREDIT CHECK
237,STUDENT SIGNED
238,SCHEDULE RELEASE
239,BASELINE
24,PROMOTION ORDER - END
240,BASELINE START
241,BASELINE COMPLETE
242,ACTUAL START
243,ACTUAL COMPLETE
244,ESTIMATED START
245,ESTIMATED COMPLETION
246,START NO EARLIER THAN
247,START NO LATER THAN
248,FINISH NO LATER THAN
249,FINISH NO EARLIER THAN
25,PROMOTION SHIP - START
250,MANDATORY (OR TARGET) START
251,MANDATORY (OR TARGET) FINISH
252,EARLY START
253,EARLY FINISH
254,LATE START
255,LATE FINISH
256,SCHEDULED START
257,SCHEDULED FINISH
258,ORIGINAL EARLY START
259,ORIGINAL EARLY FINISH
26,PROMOTION SHIP - END
260,REST DAY
261,REST START
262,REST FINISH
263,HOLIDAY
264,HOLIDAY START
265,HOLIDAY FINISH
266,BASE
267,TIMENOW
268,END DATE OF SUPPORT
269,DATE ACCOUNT MATURES
27,PROMOTION REQUESTED DELIVERY - START
270,DATE FILED
271,PENALTY END
272,EXIT PLANT DATE
273,LATEST ON BOARD CARRIER DATE
274,REQUESTED DEPARTURE DATE
275,APPROVED
276,CONTRACT START
277,CONTRACT DEFINITION
278,LAST ITEM DELIVERY
279,CONTRACT COMPLETION
28,PROMOTION REQUESTED DELIVERY - END
280,DATE COURSE OF ORTHODONTICS TREATMENT BEGAN OR IS EXPECTED TO BEG
281,OVER TARGET BASELINE MONTH
282,PREVIOUS REPORT
283,FUNDS APPROPRIATION - START
284,FUNDS APPROPRIATION - END
285,EMPLOYMENT OR HIRE
286,RETIREMENT
287,MEDICARE
288,CONSOLIDATED OMNIBUS BUDGET RECONCILIATION ACT (COBRA)
289,PREMIUM PAID TO DATE
29,PROMOTION PERFORMANCE - START
