Value,Description
0,DOCUMENT IDENTIFICATION CODE
1,FREE ON BOARD SITE CODE
10,TRANSACTION STATUS INDICATOR CODE
100,FREDDIE MAC (FEDERAL HOME LOAN MORTGAGE CORPORATION) SPECIAL CHAR
101,FANNIE MAE (FEDERAL NATIONAL MORTGAGE ASSOCIATION) SPECIAL FEATUR
102,MORTGAGE INDEX SOURCE CODE
103,FANNIE MAE (FEDERAL NATIONAL MORTGAGE ASSOCIATION) REMITTANCE PRO
104,FREDDIE MAC (FEDERAL HOME LOAN MORTGAGE CORPORATION) REMITTANCE P
105,FREDDIE MAC (FEDERAL HOME LOAN MORTGAGE CORPORATION) MORTGAGE INS
106,FANNIE MAE (FEDERAL NATIONAL MORTGAGE ASSOCIATION) POOL FEATURE C
107,FANNIE MAE (FEDERAL NATIONAL MORTGAGE ASSOCIATION) MORTGAGE INSUR
108,TESTING STATISTICAL CATEGORY CODE LIST
109,TESTING DEMOGRAPHIC CATEGORY CODE LIST
11,CONTRACT DELIVERY DATE REVISION AGENT CODE
12,REASON FOR CONTRACT DELIVERY DATE REVISION CODE
13,RECOMMENDATIONS REGARDING DELAYED DELIVERIES CODE
14,CONTRACT SHIPMENT ADVICE CODE
15,INDIVIDUAL INSURANCE FINANCIAL DETAIL
16,CASH DISCOUNT STIPULATION CODE
17,SHIPMENT ACCEPTANCE DISCREPANCY EXPLANATION CODE
18,INSURANCE PLAN DESCRIPTION CHARACTERISTICS
19,CONTRACT CLOSE-OUT GROUP CODE
20,PAYMENT TYPE CODE
21,CONTRACT FUND REPORTING TRANSACTION CODE
22,CONTRACT PAYMENT DEDUCTION OR COLLECTION CODE
23,OBLIGATION VARIANCE CODE
24,PLUS OR MINUS INDICATOR CODE
25,REASON FOR DELAYED CLOSING OF CONTRACT FILE CODE
26,CONTRACT PAYMENT LINE ITEM STATUS CODE
27,SPECIAL REIMBURSABLE PROVISIONS CODE
28,KIND OF MODIFICATION CODE
29,PURCHASING CONTRACT OFFICER (PCO) INSTRUCTIONS CODE
3,KIND OF CONTRACT CODE
30,TYPE OF DELAY CODE
31,HEALTHCARE PROVIDER CHARACTERISTICS AND RESOURCES
32,CONTAINER AND ROLL-ON/ROLL-OFF NUMBER CODE
33,AIR COMMODITY AND SPECIAL HANDLING CODE
34,WATER COMMODITY AND SPECIAL HANDLING CODE
35,AIR DIMENSION CODE
36,AIR TERMINAL IDENTIFIER CODE
37,WATER TERMINAL IDENTIFIER CODE
38,CONSOLIDATION AND CONTAINERIZATION POINT CODE
39,TRANSPORTATION MODE OR METHOD CODE
