Value,Description
AA,INTERNATIONAL TELEPHONE ACCESS CODE
AB,JOINT FACSIMILE AND PHONE NUMBER
AC,MESSAGE ONLY VOICE NUMBER
AD,DELIVERY LOCATION PHONE
AE,AREA CODE
AP,ALTERNATE TELEPHONE
AS,ANSWERING SERVICE
AU,DEFENSE SWITCHED NETWORK
BN,BEEPER NUMBER
BT,BTX NUMBER
CA,CABLE
CP,CELLULAR PHONE
DN,DEFENSE DATA NETWORK (DDN)
EA,INTERNET EMAIL ADDRESS
ED,ELECTRONIC DATA INTERCHANGE ACCESS NUMBER
EM,ELECTRONIC MAIL
EX,TELEPHONE EXTENSION
FT,FEDERAL TELECOMMUNICATIONS SYSTEM (FTS)
FU,FACSIMILE USER IDENTIFIER
FX,FACSIMILE
HF,HOME FACSIMILE NUMBER
HP,HOME PHONE NUMBER
IT,INTERNATIONAL TELEPHONE
MN,MODEM NUMBER
NP,NIGHT TELEPHONE
OF,OTHER RESIDENTIAL FACSIMILE NUMBER
OT,OTHER RESIDENTIAL TELEPHONE NUMBER
PA,APPOINTMENT PHONE
PC,PERSONAL CELLULAR
PP,PERSONAL PHONE
PS,PACKET SWITCHING
SP,SHOWING PHONE
TE,TELEPHONE
TL,TELEX
TM,TELEMAIL
TN,TELETEX NUMBER
TX,TWX
UR,UNIFORM RESOURCE LOCATOR (URL)
VM,VOICE MAIL
WC,WORK CELLULAR
WF,WORK FACSIMILE NUMBER
WP,WORK PHONE NUMBER
