Value,Description
1,BILL BACK
10,ALLOWANCE TO BE ISSUED BY RESELLER
11,CHARGE DENIED BY VENDOR
12,CANCEL ALLOWANCE
13,PROVIDE AMOUNT
15,INFORMATION ONLY
18,NON-PAYABLE TAX
2,OFF INVOICE
20,ACCRUAL FUND
21,FLAT FUND
25,CASH IN ADVANCE
3,VENDOR CHECK TO CUSTOMER
4,CREDIT CUSTOMER ACCOUNT
5,CHARGE TO BE PAID BY VENDOR
6,CHARGE TO BE PAID BY CUSTOMER
7,OPTIONAL
8,OFF GROSS QUANTITY INVOICED
9,ALLOWANCE TO BE ISSUED BY VENDOR
CA,CALCULATE AND ADD TO INVOICE
CC,COLLECT
PP,PREPAID
ZZ,MUTUALLY DEFINED
