Value,Description
1,PRICE AUTHORIZATION INVALID
10,ADMINISTRATIVE CANCELLATION
11,INVALID DEBIT NUMBER
12,DUPLICATE SEQUENCE NUMBER
13,NOT VALID FOR PRICE PROTECTION
14,INVALID PART NUMBER
15,REQUIRED APPLICATION DATA MISSING
16,UNIT RESALE HIGHER THAN AUTHORIZED
17,NEGOTIATED PRICE WAS NOT LESS THAN BOOK PRICE
18,SHIP DATE MUST NOT BE AFTER CURRENT DATE
19,SHIP DATE CANNOT BE PRIOR TO PRICE AUTHORIZATION ISSUE DATE
2,PRICE AUTHORIZATION EXPIRED
20,SHIP DATE SHOULD NOT BE BEFORE PRICE AUTHORIZATION DATE (FOR REBI
21,PRICE AUTHORIZATION IS A REBILL TYPE
23,PRICE AUTHORIZATION HAS BEEN DELETED
24,PRICE AUTHORIZATION USED ON A SALES ORDER
25,DISPOSITION PENDING VENDOR REVIEW.
26,INVALID CUSTOMER NUMBER
27,INVALID SHIP DATE
28,DUPLICATE INVOICE NUMBER
29,CLAIM SUBMITTED PAST EXERCISE PERIOD
3,PRODUCT NOT ON THE PRICE AUTHORIZATION
30,INVALID MEET COMPETITION COST
31,INVALID BOOK COST
32,INPUT INCOMPLETE
33,INPUT ERRORS
34,NO COVERAGE
35,OUT OF NETWORK
36,TESTING NOT INCLUDED
37,REQUEST FORWARDED TO AND DECISION RESPONSE FORTHCOMING FROM AN EX
38,CLAIM CAN NOT BE IDENTIFIED FOR VERIFICATION
39,ACTUAL INFORMATION DIFFERENT THAN REPORTED
4,AUTHORIZED QUANTITY EXCEEDED
40,ACTUAL INFORMATION DIFFERENT - CLAIM HAS BEEN RE-ADJUDICATED SINC
41,AUTHORIZATION/ACCESS RESTRICTIONS
42,UNABLE TO RESPOND AT CURRENT TIME
43,INVALID/MISSING PROVIDER IDENTIFICATION
44,INVALID/MISSING PROVIDER NAME
45,INVALID/MISSING PROVIDER SPECIALTY
46,INVALID/MISSING PROVIDER PHONE NUMBER
47,INVALID/MISSING PROVIDER STATE
48,INVALID/MISSING REFERRING PROVIDER IDENTIFICATION NUMBER
49,PROVIDER IS NOT PRIMARY CARE PHYSICIAN
5,ZERO BALANCE
50,PROVIDER INELIGIBLE FOR INQUIRIES
51,PROVIDER NOT ON FILE
52,SERVICE DATES NOT WITHIN PROVIDER PLAN ENROLLMENT
53,INQUIRED BENEFIT INCONSISTENT WITH PROVIDER TYPE
54,INAPPROPRIATE PRODUCT/SERVICE ID QUALIFIER
55,INAPPROPRIATE PRODUCT/SERVICE ID
56,INAPPROPRIATE DATE
57,INVALID/MISSING DATE(S) OF SERVICE
58,INVALID/MISSING DATE-OF-BIRTH
59,INVALID/MISSING DATE-OF-DEATH
6,SPECIAL COST INCORRECT
60,DATE OF BIRTH FOLLOWS DATE(S) OF SERVICE
61,DATE OF DEATH PRECEDES DATE(S) OF SERVICE
62,DATE OF SERVICE NOT WITHIN ALLOWABLE INQUIRY PERIOD
63,DATE OF SERVICE IN FUTURE
64,INVALID/MISSING PATIENT ID
65,INVALID/MISSING PATIENT NAME
66,INVALID/MISSING PATIENT GENDER CODE
67,PATIENT NOT FOUND
68,DUPLICATE PATIENT ID NUMBER
69,INCONSISTENT WITH PATIENT'S AGE
7,CATALOG COST INCORRECT
70,INCONSISTENT WITH PATIENT'S GENDER
71,PATIENT BIRTH DATE DOES NOT MATCH THAT FOR THE PATIENT ON THE DAT
72,INVALID/MISSING SUBSCRIBER/INSURED ID
73,INVALID/MISSING SUBSCRIBER/INSURED NAME
74,INVALID/MISSING SUBSCRIBER/INSURED GENDER CODE
75,SUBSCRIBER/INSURED NOT FOUND
76,DUPLICATE SUBSCRIBER/INSURED ID NUMBER
77,"SUBSCRIBER FOUND, PATIENT NOT FOUND"
78,SUBSCRIBER/INSURED NOT IN GROUP/PLAN IDENTIFIED
79,INVALID PARTICIPANT IDENTIFICATION
8,INVALID SHIP LOCATION
80,NO RESPONSE RECEIVED - TRANSACTION TERMINATED
81,INVALID OR MISSING CASE NUMBER
82,NOT MEDICALLY NECESSARY
83,LEVEL OF CARE NOT APPROPRIATE
84,CERTIFICATION NOT REQUIRED FOR THIS SERVICE
85,CERTIFICATION RESPONSIBILITY OF EXTERNAL REVIEW ORGANIZATION
86,PRIMARY CARE SERVICE
87,EXCEEDS PLAN MAXIMUMS
88,NON-COVERED SERVICE
89,NO PRIOR APPROVAL
9,NO CREDIT ALLOWED
90,REQUESTED INFORMATION NOT RECEIVED
91,DUPLICATE REQUEST
92,SERVICE INCONSISTENT WITH DIAGNOSIS
95,PATIENT NOT ELIGIBLE
96,PRE-EXISTING CONDITION
97,INVALID OR MISSING PROVIDER ADDRESS
98,EXPERIMENTAL SERVICE OR PROCEDURE
AA,AUTHORIZATION NUMBER NOT FOUND
AB,"AIR BRAKES - INOPERATIVE, ETC."
AD,ACCIDENT DAMAGE - DERAIL/SIDESWIPED
AE,REQUIRES PRIMARY CARE PHYSICIAN AUTHORIZATION
AF,INVALID/MISSING DIAGNOSIS CODE(S)
AG,INVALID/MISSING PROCEDURE CODE(S)
AH,INVALID/MISSING ONSET OF CURRENT CONDITION OR ILLNESS DATE
AI,INVALID/MISSING ACCIDENT DATE
AJ,INVALID/MISSING LAST MENSTRUAL PERIOD DATE
AK,INVALID/MISSING EXPECTED DATE OF BIRTH
AL,INVALID/MISSING SURGERY DATE
AM,INVALID/MISSING ADMISSION DATE
AN,INVALID/MISSING DISCHARGE DATE
AO,ADDITIONAL PATIENT CONDITION INFORMATION REQUIRED
AR,ARRIVALS
BA,REJECT DUE TO AIR BAGS
BC,REJECT DUE TO NO CHAINS
BD,REJECT DUE TO DAMPS
BG,REJECT DUE TO BEARINGS
BL,REJECT DUE TO LOAD DIVIDER BAD ORDER
BO,"LOADED CAR, UNABLE TO LOAD"
BP,REJECT DUE TO BRIDGE PLATE
BR,"REJECT DUE TO BRAKE RIGGING BEAM, LEVER"
BS,REJECT DUE TO BAD ORDER SLIDES
BV,REJECT DUE TO BAD ORDER VALVES/PIPING
BW,REJECT DUE TO BAD ORDER WALLS
CA,REJECT DUE TO CRANK ARM APPLICATION
CB,"REJECT DUE TO CENTER BOWLS, PLATES AND PINS"
CI,CERTIFICATION INFORMATION DOES NOT MATCH PATIENT
CL,COMPLETE LOADING
CM,RELEASED AS RAILROAD COMPANY MATERIAL
CN,CAR NOT ORDERED
CP,PUT ON CONSTRUCTIVE PLACEMENT
CR,WRONG CONSIGNEE
CS,RELEASE LOAD THROUGH BILL CONNECTING ROAD
CT,RELEASE AS A CROSS-TOWN LOAD
CU,EQUIPMENT NOT USED
CW,WRONG CAR TYPE
DD,REJECT DUE TO DOORS
DG,REJECT DUE TO DRAFT GEAR - YOKE
DM,DISMANTLE
DP,DEPARTED
DR,REJECT DUE TO DIRTY
DS,DEFECTIVE SAFETY DEVICES
DV,"REJECT DUE TO LOAD DIVIDERS, SIDE FILTERS, SPECIAL EQUIPMENT"
E1,REQUESTED RECORD WILL NOT BE SENT; CANNOT IDENTIFY THE RECORD
E2,REQUESTED RECORD WILL NOT BE SENT; NEED STUDENT OR PARENT PERMISS
E3,REQUESTED RECORD WILL NOT BE SENT
E4,REQUESTED RECORD WILL NOT BE SENT; NEVER ENROLLED
E5,REQUESTED RECORD WILL NOT BE SENT; NO DEGREE AWARDED
E6,REQUESTED RECORD WILL NOT BE SENT; NO GRADES POSTED
E7,REQUESTED RECORD CANNOT BE SENT ELECTRONICALLY; RECORD RESIDES IN
E8,REQUIRES MEDICAL REVIEW
EA,EMPTY EQUIPMENT AVAILABLE FOR LOADING
ER,REJECT DUE TO SPOTTED IN ERROR
ET,EMPTY TRAILER FLAT RELEASE
FD,FREIGHT DAMAGE CLAIM
FR,REJECT DUE TO BAD FLOOR
GS,RELEASE FROM DEMURRAGE AND START STORAGE UNTIL WAYBILLED
HB,REJECT DUE TO HANDBRAKE
HH,"REJECT DUE TO HAND HOLD, LADDER, STEP, RUNNING BOARDS, PLATFORMS,"
HX,REJECT DUE TO HOT JOURNAL BOX
IA,INVALID AUTHORIZATION NUMBER FORMAT
ID,RELEASES AN IDLER
II,INDUSTRIAL INTERCHANGE
IP,INAPPROPRIATE PROVIDER ROLE
KR,REJECT DUE TO COUPLERS
LK,REJECT DUE TO LEAKING CONTENTS
LS,REJECT DUE TO LOAD SHIFTED
LW,LIGHT WEIGH AND RESTENCIL
MA,MISSING AUTHORIZATION NUMBER
MO,MOVE FROM CURRENT SPOT TO NEXT
NC,NO CERTIFICATION INFORMATION FOUND
OG,REJECT DUE TO OUTLET GATE/VALVE LO AND OPEN HOPPER
OI,RELEASED FROM INDUSTRY TO BE INSPECTED
OR,ORDERED FOR REPLACEMENT
OV,REJECT DUE TO OVERLOADED
PM,PREVENTATIVE MAINTENANCE
RB,RELEASED FROM INDUSTRY TO CUSTODY OF BROKER
RD,TO BE RELOADED
RF,REJECT DUE TO REFRIGERATION UNIT
RH,REJECT DUE TO ROOF HATCHES
RK,REJECT DUE TO RACKS (BI OR TRI LEVELS)
RL,RELEASED
RN,BAD ORDER REINITIALING AND NUMBERING
RP,RELEASED PARTIALLY UNLOADED
RS,RELEASED LOADED FOR LINE HAUL SHIPMENT
RT,RUN THROUGH EQUIPMENT NOT SPOTTED
SC,RELEASED FROM DEMURRAGE AFTER BEING SCRAPPED
ST,RELEASED FROM SHOP TRACK
SU,"REJECT DUE TO SUPERSTRUCTURE - END, ROOF AND SIDES"
SW,LOCAL WAYBILL
T1,CANNOT IDENTIFY PROVIDER AS TPO (THIRD PARTY ORGANIZATION) PARTIC
T2,CANNOT IDENTIFY PAYER AS TPO (THIRD PARTY ORGANIZATION) PARTICIPA
T3,CANNOT IDENTIFY INSURED AS TPO (THIRD PARTY ORGANIZATION) PARTICI
T4,PAYER NAME OR IDENTIFIER MISSING
T5,CERTIFICATION INFORMATION MISSING
T6,CLAIM DOES NOT CONTAIN ENOUGH INFORMATION FOR RE-PRICING
TC,BAD ORDER TO TRANSFER LADING
TD,REJECT DUE TO TIE DOWN DEVICES
TH,REJECT DUE TO TRAILER HITCH
