Value,Description
AA,BRANCHES
AB,MEMBERS
AC,COMMERCIAL ENTERPRISES
AD,SPECIAL TRADES
AE,FINANCIAL INSTITUTIONS
AF,FAST FOOD
AG,AGENT
AH,NON-PROFIT
AI,IMPORTER
AJ,SCHOOLS
AL,GAMING
AM,PRISONS
AN,THEME PARK
AO,MULTI-PURPOSE
AP,PURCHASER
AQ,RESTAURANT
AR,VENDING
AS,SELLER
BG,BUYING GROUP
BR,BROKER
CB,COMBINED
CN,CONSOLIDATOR (MASTER DISTRIBUTOR)
CO,CONTRACTOR
CR,CHAIN STORE RETAIL
CX,CONFECTION
CY,CONVENIENCE STORE
DE,DEALER
DF,DOCTORS' OFFICES
DI,DISTRIBUTOR
DR,DRUG STORE
EX,EXPORTER
FS,FOOD SERVICE
GA,GROCERY ACCOUNTS
GM,GENERAL MERCHANDISE
GR,GENERAL RETAIL
GV,GOVERNMENT
HS,HOSPITALS
ID,INDUSTRIAL
IN,INSTITUTIONAL
IR,INDEPENDENT RETAIL
JB,JOBBER
LC,LONG-TERM CARE
MC,MANAGED CARE
MF,MANUFACTURER
ML,MILITARY
OE,OEM
OF,OFF PREMISE
ON,ON PREMISE
PF,PROFESSIONAL
PH,OUTPATIENT PHARMACY
PT,PET SUPPLY STORE
PY,PRIVATE LABEL
RS,RESALE
SA,SERVICES
SB,SUPPORT
SE,SECURITIES
ST,STATIONER
TR,GENERAL TRADE
WA,WAREHOUSING
WC,WAREHOUSE CLUBS
WH,WHOLESALER
WS,USER
