Value,Description
AA,BILL
AB,PAY
AP,ADVISE PRICE
AW,AVERAGE WHOLESALE PRICE
BD,BEFORE DISCOUNT
BR,BROKER
BW,BIWEEKLY PRICE PER UNIT
CA,CATALOG
CP,CURRENT PRICE (SUBJECT TO CHANGE)
CR,CARNET
CT,CONTRACT
DI,DISTRIBUTOR
DP,DAILY PRICE PER UNIT
DR,DEALER
DS,DISCOUNT
EC,ESTIMATED CREDIT
EH,SHIFT DIFFERENTIAL
ES,ESTIMATED
FB,FABRICATION COST
FO,FORMULA
FX,FIXED PRICE
HF,PER 100 FEET
HP,PRICE PER HUNDRED
HT,"PRICE PER 100,000"
KA,PRICE WITH GOVERNMENT FURNISHED PROPERTY
KP,ESCALATED PRICE
KR,IN STOCK
LC,CATALOG PRICE PER HUNDRED
LD,CATALOG PRICE PER DOZEN
LE,CATALOG PRICE PER EACH
LM,CATALOG PRICE PER THOUSAND
LR,PREVIOUS CATALOG PRICE
ME,MIDTERM ENDORSEMENT PRICE PER UNIT
ML,PRICE PER MILLILITER
NC,NO CHARGE
NE,NOT TO EXCEED
NQ,NO QUOTE
NS,NOT SEPARATELY PRICED
NT,NET
PA,PRICE PER TROY OUNCE
PB,ANNUAL PRICE PER UNIT
PD,PRICE PER DOZEN
PE,PRICE PER EACH
PF,PRICE PER FOOT
PG,PRICE PER GRAM
PK,PRICE PER KILOGRAM
PL,PRICE PER LITER
PM,MONTHLY PRICE PER UNIT
PN,PRICE PER TEN
PO,PRICE PER OUNCE
PP,PRICE PER POUND
PQ,POSTED
PR,PROMOTION
PS,PRICE PER THOUSAND SQUARE FOOT
PT,PRICE PER TON
PU,QUARTERLY PRICE PER UNIT
PV,PROVISIONAL PRICE
PY,PRICE PER YARD
QE,QUOTED PRICE PER EACH
QH,QUOTED PRICE PER HUNDRED
QR,PREVIOUS QUOTED PRICE
QS,QUOTED PRICE PER THOUSAND
QT,QUOTED
RC,RETAIL PRICE PER HUNDRED
RD,RETAIL PRICE PER DOZEN
RE,RETAIL PRICE PER EACH
RM,RETAIL PRICE PER THOUSAND
RS,RESALE PRICE
RT,RETAIL
SA,SEMI ANNUAL PRICE PER UNIT
SC,SUBMITTED CONTRACT
SM,SEMI MONTHLY PRICE PER UNIT
SR,SUGGESTED RETAIL
ST,STANDARD
SW,SUBMITTED WHOLESALE
TB,TO BE NEGOTIATED.
TC,CONTRACT PRICE PER HUNDRED
TD,CONTRACT PRICE PER DOZEN
TE,CONTRACT PRICE PER EACH
TF,PER 1000 FEET
TM,CONTRACT PRICE PER THOUSAND
TP,PRICE PER THOUSAND
TT,"PRICE PER 10,000"
UM,PRICE PER UNIT OF MEASURE
VQ,VERBAL QUOTE
WC,WHOLESALE PRICE PER HUNDRED
WD,WHOLESALE PRICE PER DOZEN
WE,WHOLESALE PRICE PER EACH
WH,WHOLESALE
WI,WEEKLY PRICE PER UNIT
WM,WHOLESALE PRICE PER THOUSAND
