Value,Description
0,COMPANY NON-CLASSIFIED
1,COMPANY INTERNAL USE ONLY
11,COMPETITION SENSITIVE
2,COMPANY CONFIDENTIAL
20,COURT RESTRICTED
21,JUVENILE RECORD RESTRICTED
3,"COMPANY CONFIDENTIAL, RESTRICTED (NEED TO KNOW)"
4,COMPANY REGISTERED (SIGNATURE REQUIRED)
5,PERSONAL
6,SUPPLIER PROPRIETARY
9,COMPANY DEFINED (TRADING PARTNER LEVEL)
90,GOVERNMENT NON-CLASSIFIED
92,GOVERNMENT CONFIDENTIAL
93,GOVERNMENT SECRET
94,GOVERNMENT TOP SECRET
99,GOVERNMENT DEFINED (TRADING PARTNER LEVEL)
ZZ,MUTUALLY DEFINED
