Value,Description
CFR,COST AND FREIGHT
CIF,"COST, INSURANCE, AND FREIGHT"
CIP,CARRIAGE AND INSURANCE PAID TO
CPT,CARRIAGE PAID TO
DAF,DELIVERED AT FRONTIER
DDP,DELIVERED DUTY PAID
DDU,DELIVER DUTY UNPAID
DEQ,DELIVERED EX QUAY
DES,DELIVERED EX SHIP
DOM,DOMESTICALLY SUPPLIED
DUP,DELIVERED; DUTY UNPAID
EXQ,EX QUAY
EXS,EX SHIP
EXW,EX WORKS
FAS,FREE ALONGSIDE SHIP
FCA,FREE CARRIER
FCI,FREIGHT CARRIAGE AND INSURANCE PAID TO
FCP,FREIGHT CARRIAGE PAID TO
FOB,FREE ON BOARD
FOR,FREE ON RAIL
FOT,FREE ON TRUCK
NPF,NON-PRIVILEGED FOREIGN
PPF,PRIVILEGED FOREIGN
ZZZ,MUTUALLY DEFINED
