Value,Description
1,ALUMINUM
10,CHEMICALLY HARDENED FIBRE
13,CLOTH
16,CLOTH TOP
19,CLOTH OR FABRIC
22,COMPRESSED
25,CORRUGATED OR SOLID
28,DOUBLE-WALL PAPER
3,HARD WOOD
31,FIBRE
34,FIBRE (PAPERBOARD)
37,FIBERBOARD
4,AS SPECIFIED BY THE DOT
40,FIBERBOARD METAL
43,GLASS
46,IN INNER CONTAINERS
48,WIRE/CORD
49,INSULATED
5,SOFT WOOD
50,STEEL - VINYL COATED
51,WIRE MESH
52,IRON OR STEEL
53,JUMBO
54,SPECIAL JUMBO
55,LEAD
58,METAL
59,METAL CANS
61,MOISTURE RESISTANT
64,MOLDED PLASTIC
67,MULTIPLE-WALL PAPER (2 OR MORE WALLS)
7,BURLAP
70,MULTIPLE-WALL PAPER (3 OR MORE WALLS)
71,NOT OTHERWISE SPECIFIED
72,PAPER - VCI
73,OTHER THAN GLASS
74,"OTHER THAN METAL OR PLASTIC TUBES, OR GLASS"
75,PLASTIC - VACUUM FORMED
76,PAPER
77,PLASTIC - STRUCTURAL FOAM
78,PLASTIC - INJECTION MOLDED
79,PLASTIC
80,POLYETHYLENE LINED
81,PLASTIC - VIRGIN
82,PULPBOARD
83,PLASTIC - REGRIND
84,POLYSTYRENE
85,RUBBER
86,FOAM
88,RUBBER AND FABRIC
89,SPECIAL
90,STANDARD
91,STAINLESS STEEL
92,"TUBES, METAL OR PLASTIC"
94,WOOD
95,SINGLE WALL CORRUGATED BOARD
96,DOUBLE WALL CORRUGATED BOARD
97,TRIPLE WALL CORRUGATED BOARD
AAA,"PALLET, RETURNABLE"
AAB,SPLASH BLEND
AMM,AMMO PACK
AMP,AMPOULE
ATH,ATTACHMENT
BAG,BAG
BAL,BALE
BBL,BARREL
BDG,BANDING
BDL,BUNDLE
BEM,BEAM
BIC,BING CHEST
BIN,BIN
BLK,BULK
BLT,BELTING
BOB,BOBBIN
BOT,BOTTLE
BOX,BOX
BRC,BRACING
BRG,BARGE
BSK,BASKET OR HAMPER
BXI,"BOX, WITH INNER CONTAINER"
BXT,BUCKET
CAB,CABINET
CAG,CAGE
CAN,CAN
CAR,CARRIER
CAS,CASE
CBC,CONTAINERS OF BULK CARGO
CBY,CARBOY
CCS,CAN CASE
CHE,CHEESES
CHS,CHEST
CLD,"CAR LOAD, RAIL"
CNA,"HOUSEHOLD GOODS CONTAINER, WOOD"
CNB,"CONTAINER, MAC-ISO, LT. WGT. 8X8X20 FOOT AIR"
CNC,"CONTAINER, NAVY CARGO TRANSPORTER"
CND,"CONTAINER, COMMERCIAL HIGHWAY LIFT"
CNE,"CONTAINER, ENGINE"
CNF,"CONTAINER, MULTI-WALLED, SECURED TO WAREHOUSE PALLET"
CNT,CONTAINER
COL,COIL
CON,CONES
COR,CORE
CRD,CRADLE
CRF,CORNER REINFORCEMENT
CRT,CRATE
CSK,CASK
CTN,CARTON
CX2,CONEX
CYL,CYLINDER
DBK,DRY BULK
DRK,DOUBLE-LENGTH RACK
DRM,DRUM
DSK,DOUBLE-LENGTH SKID
DTB,DOUBLE-LENGTH TOTE BIN
DUF,DUFFELBAG
EGG,EGG CRATING
ENV,ENVELOPE
EPR,EDGE PROTECTION
FIR,FIRKIN
FLO,FLO-BIN
FRM,FRAME
FSK,FLASK
FWR,FORWARD REEL
HED,HEADS OF BEEF
HGH,HOGSHEAD
HPR,HAMPER
HPT,HOPPER TRUCK
HRB,ON HANGER OR RACK IN BOXES
HRK,HALF-STANDARD RACK
HTB,HALF-STANDARD TOTE BIN
INT,INTERMEDIATE CONTAINER
JAR,JAR
JUG,JUG
KEG,KEG
KIT,KIT
KRK,KNOCKDOWN RACK
