Value,Description
AA,FROM DATE OF PO RECEIPT TO SAMPLE READY
AB,FROM DATE OF TOOLING AUTHORIZATION TO SAMPLE READY
AC,FROM DATE OF RECEIPT OF TOOLING AIDS TO SAMPLE READY
AD,FROM DATE OF SAMPLE APPROVAL TO FIRST PRODUCT SHIPMENT
AE,FROM DATE OF PO RECEIPT TO SHIPMENT
AF,FROM DATE OF PO RECEIPT TO DELIVERY
AG,FROM LAST BOOKED ORDER TO DELIVERY
AH,FROM DATE OF RECEIPT OF FIRST ARTICLE TO FIRST ARTICLE APPROVAL
AI,FROM DATE OF A SPECIFIED EVENT TO DELIVERY
AJ,FROM DATE OF FIRST DELIVERY TO DATE OF SUBSEQUENT DELIVERY(IES)
AK,FROM DATE OF LATEST DELIVERY TO FINAL DELIVERY
AL,FROM DATE OF PURCHASE ORDER OR CONTRACT RECEIPT TO PRODUCT READY
AM,FROM DATE OF PREVIOUS DELIVERY TO DATE OF SUBSEQUENT DELIVERY
AP,FROM DATE OF AWARD TO MIDPOINT OF EFFORT
AR,FROM DATE OF AWARD TO GOVERNMENT RECEIPT OF BOND
AS,BEFORE INVENTORY IS REPLENISHED BASED ON STOCK CHECK
AT,FROM BID OPENING TO EXPIRATION OF BID
AU,FROM REQUIRED-BY DATE TO EXPIRATION DATE
AV,FROM DATE OF AWARD TO DATE OF LATEST DELIVERY
AW,FROM DATE OF AWARD TO DATE OF EARLIEST DELIVERY
AX,FROM DATE OF AWARD TO DATE OF COMPLETION
AY,FROM DATE OF AWARD TO DATE OF DELIVERY
AZ,FROM DATE OF RECEIPT OF ITEM TO DATE OF APPROVAL OF ITEM
BA,FROM DATE OF AWARD TO EXPIRATION DATE OF AUTHORIZATION
BB,FROM DATE OF ORDER PREPARATION TO DATE OF ORDER PLACEMENT
BC,FROM DATE OF AWARD TO COMMENCEMENT OF PERFORMANCE
BD,FROM DATE OF AWARD TO DATE OF OPTION EXERCISE
BE,FROM DATE OF OPTION EXERCISE TO DATE OF COMPLETION
BF,FROM DATE OF OPTION EXERCISE TO DATE OF DELIVERY
BG,FROM DATE OF A SPECIFIED EVENT TO DATE OF OPTION EXERCISE
BH,FROM DATE OF NOTICE TO PROCEED TO COMMENCEMENT OF PERFORMANCE
BI,FROM DATE OF NOTICE TO PROCEED TO COMPLETION
ID,FROM THE DATE OF INTENDED DELIVERY TO DATE OF NOTIFICATION OF THE
