Value,Description
AAA,AGENT DETAILS
AAB,ASSOCIATED BUSINESS AREAS
AAC,BORROWER
AAD,NATIONALITY DETAILS
AAE,ASSETS
AAF,LIABILITIES
AAH,ADDITIONAL FACILITY DETAILS
AAI,EXEMPTION LAW LOCATION DESCRIPTION
AAJ,FORECAST DETAILS
AAK,IMPORT AND EXPORT DETAILS
AAL,INVENTORY VALUATION
AAM,PRODUCT BRANDS SOLD DESCRIPTION
AAN,PURCHASE TERRITORY
AAO,RESPONSIBILITIES
AAP,SUPPLIER DESCRIPTION
AAQ,EDUCATION DESCRIPTION
AAR,LIQUIDITY DETAILS
AAS,FORMER ACTIVITY DESCRIPTION
AAT,DIVISION DESCRIPTION
ABN,ABBREVIATED NOMENCLATURE
ACC,ACCESS INSTRUCTIONS
ACI,ADDITIONAL CLAIM INFORMATION
ACN,ACTION TAKEN
ACS,ACTUAL SOLUTION
ACT,ACTION
ADD,ADDITIONAL INFORMATION
AES,ACTUAL EVALUATION SUMMARY
AET,ADVERSE EVENT TERMS
AFA,DESCRIPTION
AFB,GENERIC CHEMICAL NAME
AFC,PREVENTION PROGRAM DESCRIPTION
AFD,RISK MANAGEMENT PLAN DESCRIPTION
AFE,SAFETY COMMENTS
AFF,SUMMARY
ALG,ALLERGIES
ALL,ALL DOCUMENTS
ALT,ALERTS
AMN,ADDITIONAL MANUFACTURER NARRATIVE
AOO,AREA OF OPERATION
APN,APPLICATION NOTES
APS,APPROPRIATION SPECIFICATIONS
BBD,BANK DESCRIPTION
BBF,BUSINESS FOUNDER
BBH,BUSINESS HISTORY
BBN,BANKING NOTES
BBO,BUSINESS ORIGIN DESCRIPTION
BBT,BRAND NAMES
BFD,BUSINESS FINANCING DETAILS
BOL,BILL OF LADING NOTE
BUR,BUREAU REMARKS
CAA,AUTHENTICATION INFORMATION
CAB,LINE OF IN-STATE BUSINESS
CAC,RELATIONSHIP INFORMATION
CAD,BASIS FOR AMOUNT DUE
CAE,TYPE OF DEBT
CAF,LAND USE PURPOSE
CAG,LAND DESCRIPTION
CAH,BASIS OF CALCULATION
CAI,GENERAL BUSINESS DESCRIPTION
CAJ,TYPE OF BUSINESS
CAK,CHARACTER OF BUSINESS
CAL,REPRESENTATION OF VALUE
CAM,"SUPPORTING STATEMENT, TAX, AND FEE COMPUTATION"
CAN,COOPERATIVE CORPORATION STATEMENT
CAO,CLOSE CORPORATION STATEMENT
CAP,AGREEMENT TO ABIDE BY LAWS
CAQ,STOCK RESTRICTIONS
CAR,OTHER RELATED INFORMATION
CAS,PROHIBITION AGAINST BEING AN OFFICER
CAT,QUALIFICATION OF DIRECTOR
CAU,NATURE OF CHARTER
CAV,STATEMENT OF ASSETS AND LIABILITIES
CAW,BANKRUPTCY INFORMATION
CAX,CERTIFICATE OF DISCLOSURE
CAZ,ASSET DETAIL
CBA,STATEMENT RELATED TO REGULATION
CBB,CONSIDERATION TO BE RECEIVED
CBC,OTHER LAWFUL PROVISIONS
CBH,MONETARY AMOUNT DESCRIPTION
CBI,DESCRIPTION OF TITLE
CCA,COMPETITION
CCB,CONSTRUCTION DETAILS
CCC,CONSTRUCTION FINANCING
CCD,CONSTRUCTION LINE OF BUSINESS
CCE,CONTRACT DETAILS
CCF,CORPORATE FILING DETAILS
CCG,CUSTOMER DESCRIPTION
CCN,COPYRIGHT NOTICE
CDD,CONTINGENT DEBT DETAILS
CER,CERTIFICATION NARRATIVE
CHG,CHANGE
CIG,CIGARETTE INFORMATION
CIR,CIRCUMSTANCES PRIOR TO DIFFICULTY
CLN,CLASSIFYING INFORMATION
CLR,SECURITY CLEARANCE INSTRUCTIONS
CMP,CONCOMITANT MEDICAL PRODUCT DESCRIPTION
CMT,MAINTENANCE COMMENT
COD,CORRECTED DATA
COM,CONSUMER COMMENTS
CON,CONVICTION ACT DETAILS
CRA,CREDIT REPORT ALERTS
CRK,CLOSING COMMENT
CRN,CREDIT REPORT NOTES
CUS,CUSTOMS DECLARATION
DCP,"GOALS, REHABILITATION POTENTIAL, OR DISCHARGE PLANS"
DCS,DESTINATION CONTROL STATEMENT
DDC,DEFICIENCY DESCRIPTION CHANGES
DEE,EVENT DESCRIPTION
DEL,DELIVERY
DEP,PROBLEM DESCRIPTION
DFR,"DOSE, FREQUENCY AND ROUTE DESCRIPTION"
DFS,DEPARTURE FROM SPECIFICATION COMMENT
DGN,DIAGNOSIS DESCRIPTION
DME,DURABLE MEDICAL EQUIPMENT (DME) AND SUPPLIES
DOD,DESCRIPTION OF DAMAGE
DOI,OUTCOME DESCRIPTION
DRV,DRIVER OUT OF SERVICE NOTICE
DRW,DRIVER OUT OF SERVICE RESOLUTION
DSW,DETAILED STATEMENT OF WORK
EAA,OTHER TYPE OF GROUP
EAB,BALLOT MEASURE
EAC,ATTACHMENT
EAD,BOARD
EAE,PROHIBITED CONTRIBUTION CIRCUMSTANCE
