Value,Description
AA,MORE THAN ONE YEAR
AB,FIRST SIX-MONTH PERIOD
AC,SECOND SIX-MONTH PERIOD
AD,AVERAGE DAILY
AE,UNDER ONE YEAR
AF,NEXT THREE MONTHS
AG,FOUR MONTH PERIOD
AM,AVERAGE MONTHLY
AN,ANNUAL
AP,ACADEMIC PERIOD
AY,AVERAGE YEAR
BD,BUYER'S MANUFACTURING DAYS
BM,BIMONTHLY
BW,BI-WEEKLY
CC,CYCLES
CY,CALENDAR YEAR
DA,CALENDAR DAYS
DW,WORK DAYS
DY,DAY
EA,CALENDAR YEAR-TO-DATE
EB,CAMPAIGN-TO-DATE
EC,ELECTION CYCLE
ED,THIS PERIOD
EE,TO DATE
EL,OPTION PERIOD AT END OF LEASE
F1,FISCAL YEAR PLUS ONE YEAR
F2,FISCAL YEAR PLUS TWO YEARS
FY,FISCAL YEAR
HR,HOURS
ID,INCEPTION TO DATE
KK,MAXIMUM CALENDAR DAYS
KL,AS REQUIRED
LN,LEASE TERMINATION NOTIFICATION PERIOD
LT,LEASE TERM
MD,MONTH TO DATE
MI,MINUTES
MO,MONTH
MS,MEAN TIME BETWEEN STOPS
MT,MEAN TIME BETWEEN FAILURE
NX,NEXT SIX MONTHS
PA,PLAN YEAR TO DATE
PD,PERIOD TO DATE
PM,PRECEDING 12 MONTHS
PR,PRECEDING SIX MONTHS
Q1,FIRST QUARTER
Q2,SECOND QUARTER
Q3,THIRD QUARTER
Q4,FOURTH QUARTER
QY,QUARTER OF A YEAR
SA,SEMIANNUAL
SD,SELLER'S MANUFACTURING DAYS
SH,SHIFT
SM,SEMIMONTHLY
SP,SUMMER PERIOD
TY,TAX YEAR
WK,WEEKS
WW,WORK WEEK
WY,WEEKLY
YD,YEAR TO DATE
ZZ,MUTUALLY DEFINED
