Value,Description
20,20 FT. IL CONTAINER (OPEN TOP)
2B,20 FT. IL CONTAINER (CLOSED TOP)
2C,CUT-IN ROBOT  DISTRIBUTED POWER UNIT (DPU)
2D,CONTROL UNIT
2E,HEAD-END HELPER UNIT
2F,ROADRAILER
2G,CUT-IN HELPER
2H,REAR-END HELPER UNIT
2R,REAR-END ROBOT DISTRIBUTED POWER UNIT (DPU)
40,40 FT. IL CONTAINER (OPEN TOP)
4B,40 FT. IL CONTAINER (CLOSED TOP)
AA,AIR RIDE VAN
AC,CLOSED CONTAINER
AD,FLATBED SLIDING TANDEM
AF,AIR FREIGHT (BREAK BULK)
AL,"CONTAINER, ALUMINUM"
AP,AIRCRAFT
AT,CLOSED CONTAINER (CONTROLLED TEMPERATURE)
BC,COVERED BARGE
BE,BILEVEL RAILCAR FULLY OPEN
BF,BILEVEL RAILCAR FULLY ENCLOSED
BG,BOGIE
BH,BILEVEL RAILCAR SCREENED WITH ROOF
BJ,"BILEVEL RAILCAR SCREENED, NO ROOF"
BK,"CONTAINER, BULK"
BO,BARGE OPEN
BR,BARGE
BX,BOXCAR
CA,CABOOSE
CB,"CHASSIS, GOOSENECK"
CC,CONTAINER RESTING ON A CHASSIS
CD,CONTAINER WITH BAG HANGERS
CG,"CONTAINER, TANK (GAS)"
CH,CHASSIS
CI,"CONTAINER, INSULATED"
CJ,"CONTAINER, INSULATED/VENTILATED"
CK,"CONTAINER, HEATED/INSULATED/VENTILATED"
CL,CONTAINER (CLOSED TOP - LENGTH UNSPECIFIED)
CM,"CONTAINER, OPEN-SIDED"
CN,CONTAINER
CP,COIL CAR OPEN
CQ,"CONTAINER, TANK (FOOD GRADE-LIQUID)"
CR,COIL-CAR COVERED
CS,CONTAINER-LOW SIDE OPEN TOP
CT,CONTAINER-HIGH SIDE OPEN TOP
CU,CONTAINER (OPEN TOP - LENGTH UNSPECIFIED)
CV,CLOSED VAN
CW,"CONTAINER, TANK (CHEMICALS)"
CX,"CONTAINER, TANK"
CZ,REFRIGERATED CONTAINER
DD,DOUBLE-DROP TRAILER
DF,CONTAINER WITH FLUSH DOORS
DT,DROP BACK TRAILER
DX,"BOXCAR, DAMAGE FREE EQUIPPED"
ET,END OF TRAIN DEVICE
FF,FROZEN FOOD TRAILER
FH,FLAT BED TRAILER WITH HEADBOARDS
FN,FLAT BED TRAILER WITH NO HEADBOARDS
FP,FLATCAR WITH PEDESTAL
FR,FLAT BED TRAILER - REMOVABLE SIDES
FS,CONTAINER WITH FLOOR SECURING RINGS
FT,FLAT BED TRAILER
FX,BOXCAR CUSHION UNDER FRAME OF
GS,GENERATOR SET
HB,CONTAINER WITH HANGAR BARS
HC,HOPPER CAR (COVERED)
HO,HOPPER CAR (OPEN)
HP,HOPPER CAR (COVERED; PNEUMATIC DISCHARGE)
HT,HEAD OF TRAIN DEVICE
HV,HIGH CUBE VAN
HY,HYDRANT-CART
ID,IDLER CAR
IX,BOXCAR (INSULATED)
LO,LOCOMOTIVE
LS,HALF HEIGHT FLAT RACK
LU,LOAD/UNLOAD DEVICE ON EQUIPMENT
NX,BOXCAR (INTERIOR BULKHEADS)
OB,OCEAN VESSEL (BREAK BULK)
OT,OPEN-TOP/FLATBED TRAILER
OV,OPEN TOP VAN
PL,"CONTAINER, PLATFORM"
PP,POWER PACK
PT,PROTECTED TRAILER
PU,PICKUP TRUCK
RA,"FIXED-RACK, FLAT-BED TRAILER"
RC,REFRIGERATED (REEFER) CAR
RD,"FIXED-RACK, DOUBLE DROP TRAILER"
RE,FLAT CAR (END BULKHEADS)
RF,FLAT CAR
RG,GONDOLA COVERED
RI,GONDOLA CAR (COVERED - INTERIOR BULKHEADS)
RO,GONDOLA CAR (OPEN)
RR,RAIL CAR
RS,"FIXED-RACK, SINGLE-DROP TRAILER"
RT,CONTROLLED TEMPERATURE TRAILER (REEFER)
SA,SADDLE
SC,SERVICE CAR
SD,SINGLE-DROP TRAILER
SK,STACK CAR
SL,"CONTAINER, STEEL"
SR,STAK-RAK
SS,CONTAINER WITH SMOOTH SIDES
ST,REMOVABLE SIDE TRAILER
SV,"VAN - SPECIAL INSIDE LENGTH, WIDTH OR HEIGHT REQUIREMENTS"
TA,"TRAILER, HEATED/INSULATED/VENTILATED"
TB,"TRAILER, BOAT"
TC,"TRAILER, CAR"
TF,"TRAILER, DRY FREIGHT"
TG,"TRAILER, TANK (GAS)"
TH,"TRUCK, OPEN TOP HIGH SIDE"
TI,"TRAILER, INSULATED"
TJ,"TRAILER, TANK (CHEMICALS)"
TK,"TRAILER, TANK (FOOD GRADE-LIQUID)"
TL,TRAILER (NOT OTHERWISE SPECIFIED)
TM,"TRAILER, INSULATED/VENTILATED"
TN,TANK CAR
TO,"TRUCK, OPEN TOP"
TP,"TRAILER, PNEUMATIC"
TQ,"TRAILER, ELECTRIC HEAT"
TR,TRACTOR
TT,TELESCOPING TRAILER
TU,"TRUCK, OPEN TOP LOW SIDE"
TV,"TRUCK, VAN"
TW,"TRAILER, REFRIGERATED"
UA,TRILEVEL RAILCAR 20 FEET
UB,"TRILEVEL RAILCAR SCREENED, FULLY ENCLOSED"
UC,"TRILEVEL RAILCAR SCREENED, WITH ROOF"
UD,"TRILEVEL RAILCAR SCREENED, NO ROOF"
UE,"TRILEVEL RAILCAR SCREENED, WITH DOORS, NO ROOF"
UL,UNIT LOAD DEVICE (ULD)
UP,"CONTAINER, UPGRADED"
VA,"CONTAINER, VENTED"
VE,"VESSEL, OCEAN"
VL,"VESSEL, LAKE"
VR,"VESSEL, OCEAN, ROLLON-ROLLOFF"
VS,"VESSEL, OCEAN, LASH"
VT,"VESSEL, OCEAN, CONTAINERSHIP"
WR,CONTAINER WITH WAVY OR RIPPLE SIDES
WY,RAILROAD MAINTENANCE OF WAY CAR
