Value,Description
AC,ACKNOWLEDGE - WITH DETAIL AND CHANGE
AD,"ACKNOWLEDGE - WITH DETAIL, NO CHANGE"
AE,ACKNOWLEDGE - WITH EXCEPTION DETAIL ONLY
AH,ACKNOWLEDGE - HOLD STATUS
AK,ACKNOWLEDGE - NO DETAIL OR CHANGE
AP,ACKNOWLEDGE - PRODUCT REPLENISHMENT
AT,ACCEPTED
NA,NO ACKNOWLEDGMENT NEEDED
RD,REJECT WITH DETAIL
RF,REJECT WITH EXCEPTION DETAIL ONLY
RJ,REJECTED - NO DETAIL
RN,REJECTED - NOT AS AGREED
RO,REJECTED WITH COUNTER OFFER
RV,REJECTED - VIOLATES INDUSTRY PRACTICES
ZZ,MUTUALLY DEFINED
