Value,Description
1,DIAGNOSIS RELATED GROUP (DRG)
2,PER DIEM
3,VARIABLE PER DIEM
4,FLAT
5,CAPITATED
6,PERCENT
9,OTHER
AB,NEGOTIATED GROWING EQUITY MORTGAGE (GEM)
AC,ANTICIPATED CONTRACT
AD,FEDERAL HOUSING AUTHORITY ADJUSTABLE RATE MORTGAGE
AE,FEDERAL HOUSING AUTHORITY VETERANS AFFAIRS FIXED RATE MORTGAGE (I
AF,CONVENTIONAL SECOND MORTGAGES
AG,CONVENTIONAL FIXED RATE MORTGAGES
AH,FEDERAL HOUSING AUTHORITY VETERANS AFFAIRS GRADUATED PAYMENT MORT
AI,"NEGOTIATED CONVENTIONAL, GRADUATED PAYMENT, OR STEP RATE MORTGAGE"
AJ,CONVENTIONAL ADJUSTABLE RATE MORTGAGE
CA,COST PLUS INCENTIVE FEE (WITH PERFORMANCE INCENTIVES)
CB,COST PLUS INCENTIVE FEE (WITHOUT PERFORMANCE INCENTIVES)
CH,COST SHARING
CP,COST PLUS
CS,COST
CW,COST PLUS AWARD FEE
CX,COST PLUS FIXED FEE
CY,COST PLUS INCENTIVE FEE
DI,DISTRIBUTOR
EA,EXCLUSIVE AGENCY
ER,EXCLUSIVE RIGHT
FA,FIRM OR ACTUAL CONTRACT
FB,FIXED PRICE INCENTIVE FIRM TARGET (WITH PERFORMANCE INCENTIVE)
FC,FIXED PRICE INCENTIVE FIRM TARGET (WITHOUT PERFORMANCE INCENTIVE)
FD,FIXED PRICE REDETERMINATION
FE,FIXED PRICE WITH ESCALATION
FF,FIXED PRICE INCENTIVE SUCCESSIVE TARGET (WITH PERFORMANCE INCENTI
FG,FIXED PRICE INCENTIVE SUCCESSIVE TARGET (WITHOUT PERFORMANCE INCE
FH,FIXED PRICE AWARD FEE
FI,FIXED PRICE INCENTIVE
FJ,FIXED PRICE LEVEL OF EFFORT
FK,NO COST
FL,FLAT AMOUNT
FM,RETROACTIVE FIXED PRICE REDETERMINATION
FR,FIRM FIXED PRICE
FX,FIXED PRICE WITH ECONOMIC PRICE ADJUSTMENT
LA,LABOR
LE,LEVEL OF EFFORT
LH,LABOR HOURS
OC,OTHER CONTRACT TYPE
PR,PROSPECT RESERVATION
SP,SAME PERCENTAGE AS FILM RENTAL EARNED (SPFRE)
TM,TIME AND MATERIALS
ZZ,MUTUALLY DEFINED
