Value,Description
A0010,ALTERATIONS
A0020,ANNEAL/HEAT (STEEL OR GLASS TREATMENT)
A0030,ART WORK
AA,TANK WASH REQUIRED
AC,ACID (BATTERY)
AD,ACCEPT AT DESTINATION
AF,AFFIDAVIT
AG,AIRCRAFT ON GROUND (AOG)
AM,ADMINISTRATION
AO,ACCEPT AT ORIGIN
B0020,BLACK LUNG TAX
B0040,BURNING
BH,BUYER HAND CARRY
BI,BILL AND HOLD
BOP,BOP SHEET
C0012,CAPPING
C0032,"COATING (DIP, RUSTPROOF, EDP)"
C0036,CERTIFICATE OF CONFORMANCE
C0038,CERTIFICATE OF ORIGIN
C1,SHIPPER LOAD AND COUNT
C2,CARRIER LOAD AND COUNT
CA,CATALOGING SERVICES
CC,CARRIER UNLOAD
CD,COD REQUEST
CH,CUT AND PARALLEL
CI,CUT
CM,CONTINUOUS MOVEMENT
CN,COMBINATION PERFORMANCE AND NON-PERFORMANCE
CO,COOPERATIVE UNLOADING
CS,CIGARETTE STAMPING
CSA,CANADIAN CUSTOMERS SELF ASSESSMENT (CSA)
CT,COUNT AND RECOUNT
CU,CONSIGNEE UNLOAD
CY,CARRY-IN SERVICE
CZ,CABLE PRESSURIZATION
D0020,DETERMINED FREIGHT
D0024,LAYOUT/DESIGN
D0031,DRIVER ASSISTED UNLOADING
D0032,DRIVER ASSISTED LOADING
D1,ONE - DAY SERVICE
D2,TWO - DAY SERVICE
DA,DELIVERY ACKNOWLEDGMENT
DE,DE-INSTALLATION
DH,DROP AND HOOK RECEIVING
DI,DIE SERVICE CHARGE
DL,DELIVERY
DS,DESIGNATED SUPPLIER INSPECTION
DV,DECLARED VALUE
E0030,EXCLUSIVE USE
EG,ENGRAVING
EM,EMERGENCY SERVICE
EN,ENCLOSURE
ER,EQUIPMENT MANUFACTURER RESTORATION AUDIT
EU,EXCLUSIVE USE OF EQUIPMENT
EX,EXPEDITED SERVICE
F1,FULL SERVICE
FG,FREE GOODS
FS,FLOOR STOCK PROTECTION
G0010,GRINDING
G0052,GOVERNMENT INSPECTION
GI,GROUPED ITEMS
GP,GAS PRESSURE
GU,GUARANTEED INSPECTION TECHNICAL SERVICE
H1,TEMPERATURE PROTECTION
HC,HANDLING SERVICE
HH,HOINTINS AND HAULING
HS,HAULING AND HOISTING
I0012,INSTALLATION
I0013,INSTALLATION & WARRANTY
I0021,INSPECTION
I0022,IDENTIFICATION
IC,INSIDE CABLE CONNECTORS
ID,INSIDE DELIVERY
IG,INVOICE WITH GOODS
IK,INSURANCE PROVIDED BY LESSEE
IL,INSURANCE PROVIDED BY LESSOR
IM,INSPECT AT DESTINATION
IN,INSURANCE
IO,INSPECT AT ORIGIN
IP,IN-STOCK MERCHANDISE
IQ,INTERIM USE PERMITTED AT SPECIAL RATE
IR,INSTALLATION AND TRAINING
IS,INVOICE SERVICES
IT,IN TRANSIT PRICE PROTECTION
KO,KOSHERING
L1,"SHIPPER LOAD, CARRIER COUNT"
LA,LABELING
LL,LOADING SERVICE
LS,LEASE SHORTFALL CONSIDERATION
M0010,MEMO RETURNABLE CONTAINER
M0042,MOUNTING
MI,MAIL INVOICE
ML,MAIL INVOICE TO EACH LOCATION
MNTAN,ANNUAL MAINTENANCE
MNTMN,MONTHLY MAINTENANCE
MNTON,ONE-TIME MAINTENANCE
N0020,NON-RETURNABLE CONTAINERS
N0021,NON-RETURNABLE
N0032,NOTARIZED AFFIDAVIT
NC,NOTIFY CONSIGNEE BEFORE DELIVERY
OA,OUTSIDE CABLE CONNECTORS
ON,ON-SITE SERVICE
OP,OVERSIZED PACKAGE
P0012,PAINTING (PRIMER OR FINISH)
P0014,PHOSPHATIZING (STEEL TREATMENT)
P0016,PICKLE AND OIL
P0018,PLATING
P0022,PREPARATION
PA,PACK INVOICE WITH SHIPMENT
PB,PREVIOUS BILLING
PC,PACKAGING SERVICE
PE,PULLING EYES
PF,PROOF & COMPOSITION
PL,PALLETIZING
PLI,PILOT INSPECTION
PM,PERPETUAL MOVEMENT
PO,PURCHASE OPTION
PP,PROGRESS PAYMENT REQUIREMENT
PSF,PICKUP SERVICE FURNISHED
R0072,REPAIR
R0076,RETURNABLE CONTAINER
R0077,RETURNABLE
R0110,REWORK
RD,RESIDENTIAL DELIVERY
RE,RECALL SERVICE
RM,ROUNDTRIP MOVEMENT
RP,RETURN PARTS TO CUSTOMER
S0014,SHEARING
S0016,SHOTBLASTING
S0022,SLEEVING
S0024,SHIP TO STOCK QUALITY AUDIT
S0050,SPECIAL PACKAGING
S0052,STAMPING
S0054,SOURCE INSPECTION
S0056,STRAPPING
S0080,SUPPLEMENTAL ITEMS
S1,"SHIPPER LOAD, CONSIGNEE UNLOAD"
S2,"SLIP SHEET, TRUCK"
S3,SELLER HAND CARRY
SD,SHRINKAGE ALLOWANCE
SG,SAME - DAY SERVICE
SH,SPECIAL HANDLING SERVICE
SJ,SUBJECT TO TAX ON RESALE
SLP,SLIP SHEET
SPI,SPECIFICATION REVIEW
SR,"SLIP SHEET, RAIL"
SS,TAX LIABILITY - ONE TIME
ST,TAX LIABILITY - AMORTIZED
SU,SET-UP
SV,SERVICE CENTER
SW,SWELL
T0070,TOOLS FOR PRINTING
T1,ONETIME TOOLING
TC,TICKETING SERVICE
TE,TENDERED AS TRUCKLOAD
TH,TECHNOLOGY EXCHANGE
TM,CONSECUTIVE MOVEMENT
TO,TOOLING
UN,UNITIZED
US,"USDA INSPECTED, STAMPING CERTIFICATION"
V1,DROP YARD
V2,DROP DOCK
W0010,WARRANTIES
WC,WILL CALL
WH,WAREHOUSING
X0010,COMBINE ALL SAME DAY SHIPMENT
XP,EXPANDED SERVICE
XX,THIRD PARTY PALLETS
YY,SPLIT PICKUP
ZZ,MUTUALLY DEFINED
