Value,Description
101,YYMMDD
102,CCYYMMDD
103,YYWWD
105,YYDDD
106,MMDD
107,DDD
108,WW
109,MM
110,DD
2,DDMMYY
201,YYMMDDHHMM
202,YYMMDDHHMMSS
203,CCYYMMDDHHMM
204,CCYYMMDDHHMMSS
3,MMDDYY
301,YYMMDDHHMMZZZ
302,YYMMDDHHMMSSZZZ
303,CCYYMMDDHHMMZZZ
304,CCYYMMDDHHMMSSZZZ
305,MMDDHHMM
306,DDHHMM
401,HHMM
402,HHMMSS
404,HHMMSSZZZ
405,MMMMSS
501,HHMMHHMM
502,HHMMSS-HHMMSS
503,HHMMSSZZZ-HHMMSSZZZ
600,CC
601,YY
602,CCYY
603,YYS
604,CCYYS
608,CCYYQ
609,YYMM
610,CCYYMM
613,YYMMA
614,CCYYMMA
615,YYWW
616,CCYYWW
701,YY-YY
702,CCYY-CCYY
703,YYS-YYS
704,CCYYS-CCYYS
705,YYPYYP
706,CCYYP-CCYYP
707,YYQ-YYQ
708,CCYYQ-CCYYQ
709,YYMM-YYMM
710,CCYYMM-CCYYMM
711,CCYYMMDD-CCYYMMDD
713,YYMMDDHHMM-YYMMDDHHMM
715,YYWW-YYWW
716,CCYYWW-CCYYWW
717,YYMMDD-YYMMDD
718,CCYYMMDD-CCYYMMDD
801,YEAR
802,MONTH
803,WEEK
804,DAY
805,HOUR
806,MINUTE
807,SECOND
808,SEMESTER
809,FOUR MONTHS PERIOD
810,TRIMESTER
811,HALF MONTH
812,TEN DAYS
813,DAY OF THE WEEK
814,WORKING DAYS
