Value,Description
1,LABOR
10,TOTAL GENERAL AND ADMINISTRATIVE
11,ENGINEERING LABOR
12,ENGINEERING OVERHEAD
13,MANUFACTURING LABOR
14,MANUFACTURING OVERHEAD
15,INTERDIVISIONAL WORK AUTHORIZATION
16,INTERCOMPONENT WORK AUTHORIZATION
17,CHANGE DOCUMENT NUMBER
18,FUNDS APPROPRIATION
19,NONRECURRING LABOR
2,MATERIAL
20,NONRECURRING MATERIAL
21,NONRECURRING OTHER DIRECT COSTS
22,NONRECURRING SUBCONTRACT
23,NONRECURRING LABOR AND MATERIAL
24,NONRECURRING ENGINEERING LABOR
25,NONRECURRING MANUFACTURING LABOR
26,RECURRING
27,NONRECURRING
28,TOTAL
29,NONRECURRING AND TOTAL
3,OTHER DIRECT COSTS (ODC)
30,RECURRING AND TOTAL
31,DIRECT COST OR HOURS
32,PLANT-WIDE OVERHEAD
33,GENERAL & ADMINISTRATIVE
34,COST OF MONEY
35,PROFIT OR FEE
36,TOTAL PRICE
37,TOTAL COST LESS GENERAL & ADMINISTRATIVE
38,TOTAL COST PLUS GENERAL & ADMINISTRATIVE
39,OTHER COSTS
4,SUBCONTRACT
40,STANDARD
41,VARIANCE
42,PURCHASED EQUIPMENT
43,MATERIALS AND PURCHASED ITEMS
44,QUALITY CONTROL LABOR
45,OTHER GOVERNMENT EFFORT
46,COMMERCIAL EFFORT
47,TOTAL DIRECT COST BASE
48,INDIRECT LABOR
49,EMPLOYEE BENEFITS
5,LABOR AND MATERIAL
50,PAYROLL TAXES
51,EMPLOYMENT
52,COMMUNICATIONS AND TRAVEL
53,PRODUCTION RELATED
54,FACILITIES - BUILDING AND LAND
55,FACILITIES - FURNITURE AND EQUIPMENT
56,ADMINISTRATION
57,FUTURE BUSINESS
58,CREDITS
59,GOVERNMENT FURNISHED EQUIPMENT
6,LABOR OVERHEAD
60,GOVERNMENT FURNISHED MATERIAL
61,GOVERNMENT FURNISHED PROPERTY
62,ENGINEERING
63,TOOLING
64,TOOLING DESIGN
65,TOOLING FABRICATION
66,QUALITY CONTROL
67,MANUFACTURING
7,MATERIAL OVERHEAD
70,TOTAL SALARIES AND WAGES
71,TOTAL SALARIES AND WAGES AND EMPLOYEE BENEFITS
72,TOTAL PURCHASED EQUIPMENT
73,TRAVEL - DOMESTIC
74,TRAVEL - FOREIGN
75,PARTICIPANT STIPENDS
77,PARTICIPANT TRAVEL
78,PARTICIPANT OTHER
79,PARTICIPANT TOTAL
8,OTHER OVERHEAD
80,PUBLICATION COSTS
81,CONSULTANT SERVICES
82,COMPUTER AUTOMATED DATA PROCESSING (ADP) SERVICES
83,FUNDING FROM NON-FEDERAL SOURCES
84,TOTAL DIRECT COSTS
85,HUMAN SUBJECT COSTS
86,ANIMAL COSTS
87,ALTERNATIONS AND RENOVATIONS
88,COST SHARING
9,TOTAL OVERHEAD
90,PROJECT/TASK
91,ADVANCED PROCUREMENT INDICATOR
A1,DEPARTMENT INDICATOR
A2,TRANSFER FROM DEPARTMENT
A3,FISCAL YEAR INDICATOR
A4,BASIC SYMBOL NUMBER
A5,SUB-CLASS
A6,SUB-ACCOUNT SYMBOL
AT,AIR FORCE TRANSPORTATION ACCOUNT CODE (ATAC)
B1,BUDGET ACTIVITY NUMBER
B2,BUDGET SUB-ACTIVITY NUMBER
B3,BUDGET LINE ITEM IDENTIFICATION
B4,PROJECT/TASK/BUDGET SUB-LINE
B5,ADVANCE PROCUREMENT YEAR
B6,FUND CODE
BL,BILLINGS
BY,BASE YEAR COSTS
C1,PROGRAM ELEMENT
C2,BUDGETARY RESTRICTIONS
C3,FUNDING TYPE
CM,COMMITMENTS
CY,CURRENT YEAR COSTS
D1,DEFENSE AGENCY LEVEL ORGANIZATION
D2,MAJOR COMMAND LEVEL ORGANIZATION
D3,FIELD LEVEL ORGANIZATION
D4,WORK CENTER
D5,ALLOTMENT RECIPIENT
D6,SUB-ALLOTMENT RECIPIENT
D7,WORK CENTER RECIPIENT
E1,MAJOR REIMBURSEMENT SOURCE CODE
E2,DETAIL REIMBURSEMENT SOURCE CODE
E3,CUSTOMER INDICATOR
EH,EQUIPMENT MAINTENANCE
ES,ESCALATION
EX,EXPENDITURES
F1,OBJECT CLASS
F2,OBJECT SUB-CLASS
F3,GOVERNMENT OR PUBLIC SECTOR IDENTIFIER
F4,FOREIGN CURRENCY CODE
F5,COUNTRY CODE
FE,PARTICIPANT FEES
FP,FIXED PRICE
FR,FORWARD PRICED
G1,PROGRAM OR PLANNING CODE
G2,SPECIAL INTEREST CODE OR SPECIAL PROGRAM COST CODE
H1,COST CODE
H2,LABOR TYPE CODE
H3,COST ALLOCATION CODE
H4,CLASSIFICATION CODE
