Value,Description
AQ,ALTERNATE QUANTITY AND UNIT OF MEASURE
BB,BALANCING QUANTITY
BD,BLUEPRINT DEVIATION
C1,TRANSPORTATION LIMITATIONS
C2,SOURCE LIMITATIONS
C3,CONTRACT LIMITATIONS
C4,DESTINATION LIMITATIONS
C5,CONFIRMATION LIMITATIONS
C6,OTHER LIMITATIONS
DC,DATE CHANGE
EV,ESTIMATED QUANTITY
FE,FEASIBILITY ISSUE
GU,GROSS VOLUME PER PACK AND UNIT OF MEASURE
GW,GROSS WEIGHT PER PACK
LD,LENGTH DIFFERENCE
MC,PACK/SIZE MEASURE DIFFERENCE
MP,MINIMUM ORDER
PC,PACK DIFFERENCE
PQ,PACK QUALIFIER
PS,PRODUCT/SERVICES ID CHANGE
QH,QUANTITY ON HAND
QO,QUANTITY ORDERED
QP,QUANTITY BASED ON PRICE QUALIFIER
QT,QUANTITY PRICE BREAK
SC,SIZE DIFFERENCE
UM,UNIT OF MEASURE DIFFERENCE
UP,UNIT PRICE
WD,WIDTH DIFFERENCE
WO,WEIGHT QUALIFIER/GROSS WEIGHT PER PACKAGE
ZZ,MUTUALLY DEFINED
