Value,Description
AA,EAN.UCC SERIAL SHIPPING CONTAINER CODE (SSCC)
AI,UCC/EAN-128 APPLICATION IDENTIFIER (AI) AND DATA
CA,SHIPPER-ASSIGNED CASE NUMBER
CP,CARRIER-ASSIGNED PACKAGE ID NUMBER
DZ,RECEIVER ASSIGNED DROP ZONE
GM,EAN.UCC SERIAL SHIPPING CONTAINER CODE (SSCC) AND APPLICATION IDE
L,LINE ITEM ONLY
MC,MASTER CARTON NUMBER
MT,MARKED TICKET PRICE
PB,PREMARKED BY BUYER
R,ORIGINATOR ASSIGNED
S,ENTIRE SHIPMENT
SI,SELF-IDENTIFYING CONTAINER VIA RADIO FREQUENCY ID DEVICE
SM,SHIPPER ASSIGNED
SR,SHIPPER ASSIGNED ROLL NUMBER
SS,SHIPPER ASSIGNED SKID NUMBER
UC,U.P.C. SHIPPING CONTAINER CODE
UP,U.P.C. CONSUMER PACKAGE CODE (1-5-5-1)
W,PALLET NUMBER
X,PALLET CONFIGURATION NUMBER
ZZ,MUTUALLY DEFINED
