Value,Description
1S,SIDE ONE
2S,SIDE TWO
A1,SINGLE
A2,LEFT FRONT
A3,RIGHT FRONT
A4,LEFT REAR
A5,RIGHT REAR
A6,INSIDE LEFT REAR
A7,OUTSIDE LEFT REAR
A8,INSIDE RIGHT REAR
A9,OUTSIDE RIGHT REAR
AL,ALL
AO,SINGLE END OVERHANG
AS,SIDING
B1,BOLSTER
BC,BACK OF CAB
BI,BILATERAL
BK,REAR
BL,BLOCK
BR,BRICK
BS,BOTH SIDES
BT,BOTTOM
CH,CASING HEAD FLANGE
CT,CENTER
DO,DOUBLE END OVERHANG
DT,DOWNSTREAM TAP
DU,DUAL FUEL TANK POSITION
EX,EXTERIOR
FR,FRONT
FS,FRONT SPARE
GF,RIG FLOOR
IN,INSIDE
IT,INTERIOR
KB,KELLY BUSHING
LC,LESS CRITICAL SURFACE
LO,LOWER
LT,LEFT
M1,MULTIPLE
MC,MORE CRITICAL SURFACE
MD,MIDDLE
NS,NOT SPECIFIED
NT,NEXT RELATIVE POSITION
OA,OVERALL
OS,ONE SIDE
OT,OUTSIDE
R0,RELATIVE POSITION 10
R1,RELATIVE POSITION 1
R2,RELATIVE POSITION 2
R3,RELATIVE POSITION 3
R4,RELATIVE POSITION 4
R5,RELATIVE POSITION 5
R6,RELATIVE POSITION 6
R7,RELATIVE POSITION 7
R8,RELATIVE POSITION 8
R9,RELATIVE POSITION 9
RA,RELATIVE POSITION 11
RB,RELATIVE POSITION 12
RC,RELATIVE POSITION 13
RD,RELATIVE POSITION 14
RE,RELATIVE POSITION 15
RF,RELATIVE POSITION 16
RG,RELATIVE POSITION 17
RH,RELATIVE POSITION 18
RI,RELATIVE POSITION 19
RJ,RELATIVE POSITION 20
RK,RELATIVE POSITION 21
RL,RELATIVE POSITION 22
RM,RELATIVE POSITION 23
RN,RELATIVE POSITION 24
RO,RELATIVE POSITION 25
RP,RELATIVE POSITION 26
RQ,RELATIVE POSITION 27
RR,RELATIVE POSITION 28
RS,RELATIVE POSITION 29
RT,RELATIVE POSITION 30
RU,RELATIVE POSITION 31
RV,RELATIVE POSITION 32
RW,RELATIVE POSITION 33
RX,RELATIVE POSITION 34
RY,RELATIVE POSITION 35
RZ,RELATIVE POSITION 36
S1,RELATIVE POSITION 37
S2,RELATIVE POSITION 38
S3,RELATIVE POSITION 39
S4,RELATIVE POSITION 40
S5,RELATIVE POSITION 41
S6,RELATIVE POSITION 42
S7,RELATIVE POSITION 43
S8,RELATIVE POSITION 44
S9,RELATIVE POSITION 45
SA,RELATIVE POSITION 46
SB,RIGHT
SC,RELATIVE POSITION 47
SD,RELATIVE POSITION 48
SE,RELATIVE POSITION 49
SF,RELATIVE POSITION 50
SN,STONE
SP,SPARE TIRE POSITION
SS,REAR SPARE
ST,STUCCO
SU,SUB-SEA
TB,TANK BOTTOM
TP,TOP
TS,TWO SIDES
UC,UNDER CAB
UN,UNILATERAL
UP,UPPER
UT,UPSTREAM TAP
WF,WOOD
