Value,Description
100,ENHANCED PARTY IDENTIFICATION
101,AIR CARRIER
102,SIZE AND TYPE
103,CALL SIGN DIRECTORY
104,CUSTOMS AREA OF TRANSACTION
105,CUSTOMS DECLARATION TYPE
106,INCOTERMS 1980
107,EXCISE DUTY
108,TARIFF SCHEDULE
109,CUSTOMS INDICATOR
110,CUSTOMS SPECIAL CODES
112,STATISTICAL NATURE OF TRANSACTION
113,CUSTOMS OFFICE
114,RAILCAR LETTER MARKING
115,EXAMINATION FACILITY
116,CUSTOMS PREFERENCE
117,CUSTOMS PROCEDURE
118,GOVERNMENT AGENCY PROCEDURE
119,CUSTOMS SIMPLIFIED PROCEDURE
12,TELEPHONE DIRECTORY
120,CUSTOMS STATUS OF GOODS
121,SHIPMENT DESCRIPTION
122,COMMODITY
123,ENTITLEMENT
125,CUSTOMS TRANSIT GUARANTEE
126,ACCOUNTING INFORMATION IDENTIFIER
127,CUSTOMS VALUATION METHOD
128,SERVICE
129,CUSTOMS WAREHOUSE
130,SPECIAL HANDLING
131,FREE ZONE
132,CHARGE
133,FINANCIAL REGIME
134,"DUTY, TAX OR FEE PAYMENT METHOD"
135,RATE CLASS
136,RESTRICTIONS/PROHIBITIONS ON RE-USE OF CERTAIN WAGONS
137,RAIL HARMONIZED CODIFICATION OF TARIFFS
139,PORT
140,AREA
141,FORWARDING RESTRICTIONS
142,TRAIN IDENTIFICATION
143,REMOVABLE ACCESSORIES AND SPECIAL EQUIPMENT ON RAILCARS
144,RAIL ROUTES
145,AIRPORT/CITY
146,MEANS OF TRANSPORT IDENTIFICATION
147,DOCUMENT REQUESTED BY CUSTOMS
148,CUSTOMS RELEASE NOTIFICATION
149,CUSTOMS TRANSIT TYPE
150,FINANCIAL ROUTING
151,LOCATIONS FOR TARIFF CALCULATION
152,MATERIALS
153,METHODS OF PAYMENT
154,BANK BRANCH SORTING IDENTIFICATION
155,AUTOMATED CLEARING HOUSE
156,LOCATION OF GOODS
157,CLEARING CODE
158,TERMS OF DELIVERY
16,POSTCODE DIRECTORY
160,PARTY IDENTIFICATION
161,GOODS DESCRIPTION
162,COUNTRY
163,COUNTRY SUB-ENTITY
164,MEMBER ORGANIZATIONS
165,AMENDMENT CODE (CUSTOMS)
166,SOCIAL SECURITY IDENTIFICATION
167,TAX PARTY IDENTIFICATION
168,RAIL DOCUMENT NAMES
169,HARMONIZED SYSTEM
170,BANK SECURITIES CODE
171,ENHANCED COMPANY CODE
172,CARRIER CODE
173,EXPORT REQUIREMENTS
174,CITIZEN IDENTIFICATION
175,ACCOUNT ANALYSIS CODES
176,FLOW OF THE GOODS
177,STATISTICAL PROCEDURES
178,STANDARD TEXT ACCORDING US EMBARGO REGULATIONS
179,STANDARD TEXT FOR EXPORT ACCORDING NATIONAL PRESCRIPTIONS
180,AIRPORT TERMINAL
181,ACTIVITY
182,COMBITERMS 1990
183,DANGEROUS GOODS PACKING TYPE
184,TAX ASSESSMENT METHOD
185,ITEM TYPE
186,PRODUCT SUPPLY CONDITION
187,SUPPLIER'S STOCK TURNOVER
188,ARTICLE STATUS
189,QUALITY CONTROL CODE
190,ITEM SOURCE CATEGORY
191,DUMPING OR COUNTERVAILING ASSESSMENT METHOD
192,DUMPIMG SPECIFICATION
23,CLEARING HOUSE AUTOMATED PAYMENT
25,BANK IDENTIFICATION
33,COMMERCIAL AND GOBERNMENT ENTITY (CAGE)
34,REINSURANCE POLICY ATTRIBUTES
35,RAIL ADDITIONAL CHARGES
36,RAILWAYS NETWORKS
37,RAILWAY LOCATIONS
38,RAIL CUSTOMERS
39,RAIL UNIFIED NOMENCLATURE OF GOODS
40,REINSURANCE MONETARY TYPE
42,BUSINESS FUNCTION
43,CLEARING HOUSE INTERBANK PAYMENT SYSTEM PARTICIPANTS ID
44,CLEARING HOUSE INTERBANK PAYMENT SYSTEM UNIVERSAL ID
45,UNITED NATIONS COMMON CODING SYSTEM (UNCCS)
46,DUNS (DUN AND BRADSTREET) +4
47,OCCUPATION CLASSIFICATION
48,POLICY RESERVE VALUATION TYPE
49,LIFE REINSURANCE MESSAGE TYPE
52,VALUE ADDED TAX IDENTIFICATION
53,PASSPORT NUMBER
54,STATISTICAL OBJECT
55,QUALITY CONFORMANCE
56,SAFTEY REGULATION
57,PRODUCT CODE
58,BUSINESS ACCOUNT NUMBER
59,RAILWAY SERVICES HARMONIZED CODE
60,TYPE OF FINANCIAL ACCOUNT
61,TYPE OF ASSETS AND LIABILITIES
62,REQUIREMENTS INDICATOR
63,HANDLING ACTION
64,FREIGHT FORWARDER
65,SHIPPING AGENT
67,TYPE OF PACKAGE
68,TYPE OF INDUSTRIAL ACTIVITY
69,TYPE OF SURVEY QUESTION
70,CUSTOMS INSPECTION TYPE
71,NATURE OF TRANSACTION
73,INSURANCE INFORMATION INDICATOR
74,JOINT LIFE INSURANCE INDICATOR
ZZZ,MUTUALLY DEFINED
