Value,Description
AA,ITEM ACCEPTED - ORDER FORWARDED TO ALTERNATE SUPPLIER LOCATION
AC,ITEM ACCEPTED AND SHIPPED
AR,ITEM ACCEPTED AND RELEASED FOR SHIPMENT
BP,"ITEM ACCEPTED - PARTIAL SHIPMENT, BALANCE BACKORDERED"
DR,ITEM ACCEPTED - DATE RESCHEDULED
IA,ITEM ACCEPTED
IB,ITEM BACKORDERED
IC,ITEM ACCEPTED - CHANGES MADE
ID,ITEM DELETED
IE,"ITEM ACCEPTED, PRICE PENDING"
IF,"ITEM ON HOLD, INCOMPLETE DESCRIPTION"
IH,ITEM ON HOLD
IP,ITEM ACCEPTED - PRICE CHANGED
IQ,ITEM ACCEPTED - QUANTITY CHANGED
IR,ITEM REJECTED
IS,ITEM ACCEPTED - SUBSTITUTION MADE
IW,ITEM ON HOLD-WAIVER REQUIRED
R1,"ITEM REJECTED, NOT A CONTRACT ITEM"
R2,"ITEM REJECTED, INVALID ITEM PRODUCT NUMBER"
R3,"ITEM REJECTED, INVALID UNIT OF ISSUE"
R4,"ITEM REJECTED, CONTRACT ITEM NOT AVAILABLE"
R5,"ITEM REJECTED, REORDER ITEM AS A JUST IN TIME (JIT) ORDER"
R6,"ITEM REJECTED, REORDER ITEM AS AN EXTENDED DELIVERY ORDER (EDO)"
R7,"ITEM REJECTED, REORDER ITEM AS A DROP SHIPMENT"
R8,"ITEM REJECTED, REORDER ITEM AS A SURGE ORDER"
SP,ITEM ACCEPTED - SCHEDULE DATE PENDING
