Value,Description
0,HOSPITAL/HOMEBOUND INDIVIDUALS
0A,NUMBER OF HOURS PER DAY
0B,NUMBER OF HOURS PER WEEK
0C,NUMBER OF MONTHS PER YEAR
0D,NUMBER OF PERIODS PER WEEK
0F,NUMBER OF HOURS PER YEAR
0G,PRE-KINDERGARTEN STUDENTS
0H,FIRST GRADE STUDENTS
0I,SECOND GRADE STUDENTS
0J,THIRD GRADE STUDENTS
0K,FOURTH GRADE STUDENTS
0L,FIFTH GRADE STUDENTS
0M,SIXTH GRADE STUDENTS
0N,SEVENTH GRADE STUDENTS
0O,EIGHTH GRADE STUDENTS
0P,NINTH GRADE STUDENTS
0Q,CARNEGIE UNITS
0R,NUMBER OF DISABILITY TYPES
0S,NUMBER OF MALES
0T,NUMBER OF FEMALES
0U,INDIVIDUALS WITH MULTIPLE DISABILITIES
0V,INDIVIDUALS WITH SERIOUS EMOTIONAL DISTURBANCE
0W,INDIVIDUALS WITH SPEECH OR LANGUAGE IMPAIRMENT
0X,INDIVIDUALS WITH TRAUMATIC BRAIN INJURY
0Y,BLIND INDIVIDUALS
0Z,DEAF INDIVIDUALS
1,DISCRETE QUANTITY
10,CUMULATIVE QUANTITY - REJECTED MATERIAL: DISPOSITION PENDING
11,SPLIT QUANTITY
12,SHIP NOTICE QUANTITY
13,COLLATERAL REQUIREMENTS
14,QUANTITY IN FLOAT
15,QUANTITY IN HOLD OUT
16,LINE THREAD QUANTITY
17,QUANTITY ON HAND
18,PREVIOUS WEEK QUANTITY
19,UNVERIFIED RECEIPTS
1A,ORIGINAL DURATION (IN CALENDAR UNITS)
1B,CURRENT DURATION (IN CALENDAR UNITS)
1C,REMAINING DURATION (IN CALENDAR UNITS)
1D,TOTAL FLOAT (IN CALENDAR UNITS)
1E,FREE FLOAT (IN CALENDAR UNITS)
1F,LAG (AS IN LAG TIME - IN CALENDAR UNITS)
1G,LEAD TIME (IN CALENDAR UNITS)
1H,STARTED
1I,COMPLETED
1J,DUE
1K,TIME UNITS
1L,SHIFTS
1M,TIME UNITS PER SHIFT
1N,SCRAP ALLOWED
1O,CALENDAR UNITS
1P,RESOURCE (QUANTITY) AVAILABLE
1Q,TOTAL RESOURCE (QUANTITY)
1R,LEVEL RESOURCE (QUANTITY)
1S,LATE
1T,NUMBER OF DELINQUENT INSTALLMENTS
1U,NUMBER OF LOANS
1V,TOTAL NUMBER OF MORTGAGEES
1W,TOTAL NUMBER OF LOAN DETAIL RECORDS
1X,PRESCRIPTION EFFECTIVE PERIOD
1Y,RATE PER DAY (RPD)
1Z,END OF MONTH INVENTORY PRIOR TO SHIP
2,CUMULATIVE QUANTITY
20,UNUSABLE QUANTITY
21,CUMULATIVE QUANTITY SHIPPED SHORT - DISPOSITION PENDING
22,CUMULATIVE QUANTITY SHIPPED SHORT - DISPOSITION CHALLENGED
23,CUMULATIVE QUANTITY SHIPPED LONG - DISPOSITION PENDING
24,CUMULATIVE QUANTITY SHIPPED LONG - DISPOSITION CHALLENGED
25,OEM INVENTORY
26,TOTAL INVENTORY
27,COMMITTED QUANTITY
28,QUANTITY AVAILABLE FOR RETURN
29,PROJECTED AVAILABLE INVENTORY
2A,COMMITMENT PERIOD
2B,NUMBER OF BORROWERS
2C,NUMBER OF ADJUSTMENT PERIODS
2D,AGE NEAREST
2E,TOTAL OTHER PROPERTIES OWNED AND FINANCED
2F,AGE NEXT
2G,RECONSIDERATION PERIOD
2H,FLAT EXTRA PREMIUM
2I,CO2 INJECTION VOLUME
2J,ACCOUNTS PLACED FOR COLLECTION
2K,CHANGES
2L,COMPANIES IN SAME ACTIVITY FOR A PERIOD
2M,COMPARISON PERIOD
2N,DEPARTMENTS
2O,EMPLOYEES SHARED
2P,ESTIMATED ACCOUNTS
2Q,INSTALLED CAPACITY
2R,LEVELS OCCUPIED
2S,REGISTERED BRANDS DISTRIBUTED
2T,ELECTRONIC SIGNATURES
2U,BYTES
2V,EMPLOYED AT THIS LOCATION
2W,SEGMENTS
2X,REGISTERED BRANDS MANUFACTURED
2Y,FUNCTIONAL GROUPS
2Z,TRANSACTION SETS
3,DISCREET QUANTITY - REJECTED MATERIAL
30,QUOTE QUANTITY ON INVENTORY
31,ADDITIONAL DEMAND QUANTITY
32,QUANTITY SOLD
33,QUANTITY AVAILABLE FOR SALE (STOCK QUANTITY)
34,NONCOMMITTED INVENTORY ON SHELF
35,INVENTORY ON SHELF + WORK IN PROGRESS
36,DISTRIBUTOR INVENTORY
37,WORK IN PROCESS
38,ORIGINAL QUANTITY
39,SHIPPED QUANTITY
3A,TOTAL CREDITS ACCEPTED
3B,TOTAL CREDITS REJECTED
3C,TOTAL DEBITS ACCEPTED
3D,TOTAL DEBITS REJECTED
3E,TOTAL PAYMENTS REJECTED
3F,TOTAL PRE-ADVICES ACCEPTED
3G,TOTAL PRE-ADVICES REJECTED
3H,TOTAL PRENOTES ACCEPTED
3I,TOTAL PRENOTES REJECTED
3J,TOTAL POST-ADVICES ACCEPTED
3K,TOTAL POST-ADVICES REJECTED
3L,TOTAL UNIDENTIFIED TRANSACTIONS REJECTED
3M,TOTAL CREDITS RECEIVED
3N,TOTAL DEBITS RECEIVED
3O,INDIVIDUALS WITH NONCATEGORICAL PRESCHOOL DISABILITY
3P,TOTAL PRE-ADVICES RECEIVED
3Q,TOTAL PRENOTES RECEIVED
3R,TOTAL POST-ADVICES RECEIVED
3S,TOTAL DEBITS
3T,TOTAL CREDITS
3V,MINIMUM TRANSFER
3W,MAXIMUM TRANSFER
3X,SPEED CAPACITY
3Y,SUBCONTRACTORS
3Z,STUDENTS
4,DISCRETE QUANTITY - REJECTED MATERIAL: DISPOSITION REPLACEMENT
40,REMAINING QUANTITY
41,NUMBER OF BATCHES
42,NUMBER OF CHECKS
43,TALK PATHS
44,NUMBER OF PATIENT ADMISSIONS
45,CUMULATIVE QUANTITY ON ORDER
46,TOTAL TRANSACTIONS
47,PRIMARY NET QUANTITY
48,SECONDARY NET QUANTITY
49,NUMBER OF SIGNED BILLS OF LADING
4A,ACCOUNTS
4B,AGENTS
4C,AUTHORIZED SHARES
4D,CLERKS
4E,DESIGN EMPLOYEES
4F,FOREIGN RELATED ENTITIES
4G,GROUP EMPLOYEES
4H,ISSUED SHARES
4I,LABORERS
4J,OTHER EMPLOYEE TYPE
4K,PART TIME EMPLOYEES
4L,RELATED ENTITIES
4M,RELATIVES EMPLOYED
4N,SALESPERSONS
4O,SPACE OCCUPIED
4P,SPECIAL PARTNERS
4Q,SUPPLIERS' CREDIT
4R,TECHNICIANS
4S,TRAINEES
4T,WAREHOUSE EMPLOYEES
4U,SHAREHOLDERS
4V,AVAILABLE UNITS
4W,TOTAL UNDUPLICATED HEADCOUNT
4X,MEALS PER WEEK
4Y,PROGRAMS OFFERED
4Z,TYPICAL CREDIT HOURS TAKEN PER GRADUATE STUDENT (FULL TIME)
5,DISCRETE QUANTITY - REJECTED MATERIAL: DISPOSITION CREDIT
50,NUMBER OF COPIES OF BILL OF LADING
51,NUMBER OF UNSIGNED BILLS OF LADING
52,NUMBER OF ORIGINALS
53,ORIGINAL PAYMENT ITEM COUNT.
54,BANK REJECT ITEM COUNT.
55,NET TO PAY ITEM COUNT.
56,MINIMUM CONTRACT QUANTITY
57,MINIMUM ORDER QUANTITY
58,PAYMENT CANCELLATION ITEM COUNT
59,INDIVIDUALS WITH DEVELOPMENTAL DELAY
5A,AGGREGATE BENEFIT PERIOD
5B,ANTICIPATED LENGTH OF SERVICE
5C,APPROVAL/OFFER DURATION
5D,BENEFIT AMOUNT
5E,BENEFIT PERIOD
5F,BROTHERS DECEASED
5G,BROTHERS LIVING
5H,CHILDREN
5I,CITATIONS
5J,CLAIM PERIOD
5K,COVERAGE
5L,ELIMINATION PERIOD
5M,ELIMINATION PERIOD - ACCIDENT
5N,ELIMINATION PERIOD - SICKNESS
5O,EMPLOYEES - NONOWNER
5P,EMPLOYEES - OWNER
5Q,EMPLOYEES - PART TIME
5R,EMPLOYEES - SAME DUTIES
5S,EMPLOYEES - SAME OCCUPATION
5T,EXPENSE
5U,FREQUENCY
5V,GENERAL ELIMINATION PERIOD
5W,GUARANTEE PERIOD
5X,HEIGHT
5Y,HOURS FLOWN - AIRCRAFT TYPE/LIFE
5Z,HOURS FLOWN - AIRCRAFT TYPE/PERIOD
6,DISCRETE QUANTITY - REJECTED MATERIAL: DISPOSITION PENDING
60,TOTAL AUTHORIZED QUANTITY
61,REMAINING AUTHORIZED QUANTITY
62,NUMBER OF DAYS COVERED BY INVENTORY
63,ON ORDER QUANTITY
64,PAST DUE QUANTITY
65,PREVIOUS MONTH'S USAGE
66,MINIMUM FABRICATION QUANTITY
67,MINIMUM SHIP QUANTITY
68,MAXIMUM NUMBER OF SHIPMENTS ALLOWED
69,INCREMENTAL ORDER QUANTITY
6A,HOURS FLOWN - AIRCRAFT/TYPE FLYING
6B,HOURS FLOWN - LIFETIME
6C,HOURS FLOWN - TYPE FLYING
6D,IMPAIRMENT DURATION
6E,IMPAIRMENT FREQUENCY
6F,INSTALLMENT FREQUENCY
6G,INSTALLMENTS
6H,INTENDED CHANGE TIME PERIOD
6I,INTERIM TERM PERIOD
6J,INVOLVEMENT PERIOD
6K,LOAN RATE
6L,MAXIMUM AGE
6M,MAXIMUM BENEFIT PERIOD - ACCIDENT
6N,MAXIMUM BENEFIT PERIOD - SICKNESS
6O,MAXIMUM BENEFIT PERIOD
6P,MEDICATION DURATION
6Q,MINIMUM AGE
6R,OWN OCCUPATION QUALIFICATION PERIOD
6S,OWNER'S EQUITY
6T,OWNERSHIP CHANGE AGE
6U,OWNERSHIP DURATION
6V,OWNERSHIP PERCENTAGE
6W,PAYMENT FREQUENCY
6X,PAYMENTS NUMBER
6Y,ARRESTS
6Z,PLACEMENT PERIOD EXPIRATION
7,CUMULATIVE QUANTITY - REJECTED MATERIAL
70,MAXIMUM ORDER QUANTITY
71,EDUCABLE MENTALLY RETARDED INDIVIDUALS
72,MINIMUM STOCK LEVEL
73,MAXIMUM STOCK LEVEL
74,DAMAGED GOODS
