Value,Description
1,PREFIX
10,GENERATION
11,DOING BUSINESS AS (DBA) OR TRADING AS (T/A)
12,COMBINED (UNSTRUCTURED) NAME
13,COMBINED NAME AND ACCOUNT NUMBER
14,NAME OF AN AGENCY
15,MAIDEN OR FORMER NAME
16,COMPOSITE NAME (USED IF THE NAME CANNOT BE BROKEN INTO SEPARATE P
17,MIDDLE NAMES
18,PREFERRED FIRST NAME OR NICKNAME
19,CORPORATION
2,FIRST NAME
20,CORPORATION SUFFIX
21,PROFESSIONAL TITLE
22,ORGANIZATION NAME
3,FIRST MIDDLE NAME
4,SECOND MIDDLE NAME
5,LAST NAME
6,FIRST INITIAL
7,FIRST MIDDLE INITIAL
8,SECOND MIDDLE INITIAL
9,SUFFIX
