Value,Description
0,DOWNPAYMENT ON THE REPAYMENT PLAN AMOUNT
0A,INTEREST SUBSTITUTION ADJUSTMENT
0B,PRINCIPAL SUBSTITUTION ADJUSTMENT
0C,PREPAID INTEREST
0D,PREPAID PRINCIPAL
0E,DELINQUENT INTEREST
0F,DELINQUENT PRINCIPAL
0G,CURTAILMENT ADJUSTMENT
0H,SERIAL NOTE PRINCIPAL AVAILABLE FOR DISTRIBUTION
0I,SERVICING FEE
0J,GUARANTEE FEE ADJUSTMENT
0K,AMOUNT UNDER-COLLATERALIZED
0L,AMOUNT OVER-COLLATERALIZED
0M,TRIAL BALANCE ADJUSTMENT
0N,CUSTODIAL BANK ACCOUNT ADJUSTMENT
0P,ITEM
0Q,SCHEDULE
0R,REGULAR PLAN
0S,PREVIOUSLY BILLED
0T,CURRENTLY DUE
0U,COVERAGE PREMIUM
1,FIXED INSTALLMENT CONTROL ACCOUNTING ERROR
10,SHIPMENT VALUE IN U.S. DOLLARS
11,LIABILITIES AT BANKRUPTCY
12,ACCOUNT AVERAGE BALANCE ACCOUNT
13,OUTSTANDING BALANCE AT FORECLOSURE
14,LEGAL OBLIGATION DEBT AMOUNT
15,ESTIMATED CLOSING COST AMOUNT
16,DISCOUNT FEES PAID BY BORROWER AMOUNT
17,CLOSING COSTS OR CONCESSIONS PAID BY SELLER
18,PREPAID ITEMS AMOUNT
19,"FEDERAL HOUSING ADMINISTRATION, MORTGAGE INSURANCE PREMIUM FUNDIN"
1A,VARIANCE
1B,VARIANCE ADJUSTMENT COST
1C,VARIANCE ADJUSTMENT SCHEDULE
1D,ESCALATION
1E,FIXED PRICE
1F,LODGING
1G,MEALS
1H,TRAVEL EXPENSE
1J,INSURANCE EXPENSE
1K,UNION DUES
1L,REGULAR INCOME
1M,INCOME ON REAL PROPERTY
1N,INCOME FROM SOCIAL SECURITY AND/OR OTHER GOVERNMENT ASSISTANCE
1P,TOTAL MONTHLY INCOME
1Q,ELECTRIC AND/OR FUEL PAYMENT
1R,WATER AND/OR SEWER PAYMENT
1S,TELEPHONE PAYMENT
1T,MAINTENANCE EXPENSE
1U,FOOD EXPENSE
1V,CLOTHING EXPENSE
1W,LAUNDRY EXPENSE
1X,MEDICAL AND/OR DENTAL EXPENSE
1Y,RECREATION EXPENSES
1Z,CHARITABLE CONTRIBUTIONS
2,GRADUATED PAYMENT MORTGAGE ADJUSTMENT
20,"FEDERAL HOUSING ADMINISTRATION, MORTGAGE INSURANCE PREMIUM OR VET"
21,ORIGINAL COST OF PROPERTY AMOUNT
22,OWNER'S ESTIMATE OF VALUE AMOUNT
23,APPRAISED VALUE AMOUNT
24,GROSS MONTHLY INCOME AMOUNT
25,ASSETS AT BANKRUPTCY
26,NEGOTIATED COST
27,AUTHORIZED UNPRICED WORK
28,TARGET PRICE
29,ESTIMATED PRICE
2A,HOME INSURANCE EXPENSE
2B,LIFE INSURANCE EXPENSE
2C,HEALTH INSURANCE EXPENSE
2D,AUTOMOBILE INSURANCE EXPENSE
2E,VALUE OF PROPERTY CLAIMED AS EXEMPT
2F,AUTOMOBILE PAYMENT
2G,OTHER TYPE OF INSTALLMENT PAYMENT
2H,OPERATING EXPENSES
2I,TOTAL PROJECTED MONTHLY INCOME
2J,TOTAL PROJECTED MONTHLY EXPENSES
2K,EXCESS INCOME
2L,VALUE OF PERSONAL PROPERTY
2M,MONTHLY OVERTIME
2N,TOTAL ALL REPAIRS
2P,TOTAL RECOMMENDED REPAIRS
2Q,STATE QUARTERLY TOTAL GROSS WAGES
2R,STATE QUARTERLY UNEMPLOYMENT INSURANCE (UI) TOTAL WAGES
2S,STATE QUARTERLY UNEMPLOYMENT INSURANCE (UI) EXCESS WAGES
2T,STATE QUARTERLY UNEMPLOYMENT INSURANCE (UI) TAXABLE WAGES
2U,STATE QUARTERLY DISABILITY INSURANCE TAXABLE WAGES
2V,STATE QUARTERLY TIP WAGES
2W,ASSET-LONG TERM
2X,ASSET-SHORT TERM
2Y,BASE COVERAGE
2Z,COMMISSION RETAINED
3,GROWING EQUITY MORTGAGE ADJUSTMENT
30,CONTRACT CEILING
31,ESTIMATED CONTRACT CEILING
32,TARGET FEE OR PROFIT AMOUNT
33,ORIGINAL CONTRACT TARGET COST
34,NEGOTIATED CONTRACT CHANGES
35,CURRENT TARGET COST
36,CONTRACT BUDGET BASE (CBB)
37,CURRENT BUDGETED COST FOR WORK SCHEDULED (BCWS)
38,CURRENT BUDGETED COST FOR WORK PERFORMED (BCWP)
39,CURRENT ACTUAL COST OF WORK PERFORMED (ACWP)
3A,ACCOUNTING
3B,ACCOUNTS PAYABLE
3C,ACCOUNTS RECEIVABLE
3D,ADVANCED DIVIDENDS
3E,ADVERTISING EXPENSES
3F,AMORTIZATION
3G,AMORTIZATION COSTS
3H,AMOUNT OF DECREE
3I,ASSET INVESTMENT
3J,AUTHORIZED CAPITAL
3K,AVAILABLE RESERVES
3L,BAD DEBT ALLOWANCE
3M,BAD DEBTS
3N,BANK ACCOUNT(S)
3O,LONG TERM ASSETS
3P,LONG TERM LIABILITIES
3Q,LONG TERM TANGIBLE ASSETS
3R,LOSSES ON CAPITAL
3S,MACHINES AND TOOLS
3T,MEMBER RISK CAPITAL
3U,MISCELLANEOUS AFTER TAX EXEMPT
3V,MORTGAGE
3W,NOMINAL CAPITAL
3X,NOMINAL DAMAGES
