Value,Description
0,CREDIT CARD
A,ADDED TO THE CONFIGURATION
A1,PLANT EQUIPMENT NUMBER
A2,DEPARTMENT OF DEFENSE IDENTIFICATION CODE (DODIC)
A3,LOCALLY ASSIGNED CONTROL NUMBER
A4,SUBSISTENCE IDENTIFICATION NUMBER
A5,APPLICATION STATE OR PROVINCE
A6,DOCUMENT IDENTIFICATION CODE
A7,SUBLINE ITEM NUMBER
A8,EXHIBIT LINE ITEM NUMBER
AA,"ASSEMBLY LEVEL CODE, VEHICLE MAINTENANCE REPORTING STANDARDS (VMR"
AB,ASSEMBLY
AC,AGGREGATION CODE (USED TO CONSOLIDATE PART FAMILIES)
AD,AMERICAN DENTAL ASSOCIATION CODES
AE,SERIAL ITEM AND CONTRIBUTION IDENTIFIER (DEFINED IN ANSI 239.56)
AF,FRONT AXLE SERIAL NUMBER
AG,AGE
AH,BILLBOARDS COMMERCIAL
AI,ALTERNATE ISBN
AJ,PIGGYBACK COMMERCIAL
AK,REFINED PRODUCT CODE
AL,AXLE SERIAL NUMBER
AM,ALLOCATION METHODOLOGY IDENTIFICATION CODE
AN,ASSET NUMBER
AP,"COMPONENT LEVEL CODE, VEHICLE MAINTENANCE REPORTING STANDARDS (VM"
AQ,APPRAISAL PRODUCT TYPE
AR,ARINC PART NUMBER
AS,REAR AXLE SERIAL NUMBER
AT,ASSORTABILITY CODE
AU,APPRAISAL SERVICE
AV,ADDITIONAL PRODUCT IDENTIFICATION ASSIGNED BY THE MANUFACTURER
AW,WELL NUMBER
AX,ASSEMBLY LOT NUMBER
AY,"SYSTEM LEVEL CODE, VEHICLE MAINTENANCE REPORTING STANDARDS (VMRS)"
AZ,AXLE RATIO
B1,VOLUME SET
B2,LIBRARY OF CONGRESS CODE
B3,EDITION CODE
B4,BINDING CODE
B5,TITLE CODE
B6,AUTHOR CODE
B7,PUBLISHER CODE
B8,BATCH NUMBER
B9,FRONT AXLE DRIVEN SERIAL NUMBER
BA,BALE NUMBER
BB,PRINT COLOR STANDARD REFERENCE
BC,SUPPLIER BRAND CODE
BD,BUYER GROUND SHADE IDENTIFIER
BE,BUYER'S ENGINEERING CHANGE LEVEL NUMBER
BF,VENDOR GROUND SHADE IDENTIFIER
BG,GROUND SHADE STANDARD REFERENCE
BH,FINISH/HAND STANDARD REFERENCE
BI,REAR AXLE REAR NON DRIVEN SERIAL NUMBER
BJ,APPLICATION COMPLETION METHOD
BK,BACKING
BL,BRAND/LABEL
BM,BEAM NUMBER
BN,BAR-CODED SERIAL NUMBER
BO,BUYERS COLOR
BP,BUYER'S PART NUMBER
BQ,BENEFIT ID
BR,COMPENSATION TYPE CODE
BS,BILL SUBGROUP CODE
BT,VOLUME TYPE IDENTIFICATION CODE
BU,BUS BODY SERIAL NUMBER
BV,BEVERAGE COMMON CODE
BW,COMPENSATION ALLOCATION CODE
BX,BILL CREDIT CODE
BY,CONCEPT CODE
BZ,COVERAGE TYPE
C1,CHANNEL
C2,CONNECTOR TYPE
C3,CLASSIFICATION
C4,CONFIGURATION ITEM IDENTIFIER
C5,INSURANCE PLAN DESCRIPTION CHARACTERISTICS
C6,ASSET TYPE
C7,ASSET CATEGORY
C8,FUND SUB-ADVISOR
C9,DUN & BRADSTREET STANDARD PRODUCT AND SERVICE CODE
CA,CASE
CB,BUYER'S CATALOG NUMBER
CC,COMPATIBLE CUT NUMBER
CD,MOTOR VEHICLE-LINE DESIGNATOR
CE,CLASS OF CONTRACT CODE
CF,CHASSIS SERIAL NUMBER
CG,COMMODITY GROUPING
CH,COUNTRY OF ORIGIN CODE
CI,COMMON LANGUAGE EQUIPMENT IDENTIFIER (CLEI)
CJ,CURRENT PROCEDURAL TERMINOLOGY (CPT) CODES
CK,CANDIDATE OIL
CL,COLOR
CM,NATIONAL RETAIL FEDERATION COLOR CODE
CN,COMMODITY NAME
CO,CHEMICAL ABSTRACT SERVICE (CAS) REGISTRY NUMBER
CP,CARRY-OVER PART NUMBER
CQ,EQUIPMENT CODE PER COPAS STANDARD
CR,CONTRACT NUMBER
CS,SERVICE CODE PER COPAS STANDARD
CT,CONTINUATION (ID NUMBER SPANS MULTIPLE PRODUCT ID DATA ELEMENTS)
CU,CUT NUMBER
CV,CUSTOMER PROVIDED EQUIPMENT
CW,CONTRACT ACTIVITY CODE
CX,COMPLETION NUMBER
CY,CUSTOMER COMPANY REGISTRY NUMBER
CZ,COUNTRY FROM WHICH PROCURED
D,DELETED FROM THE CONFIGURATION
D1,UNDERWRITING METHOD OF DIRECT WRITER
D2,MEDICAL INFORMATION BUREAU (MIB) AUTHORIZATION
D3,POLICY FORM
D4,PLAN CODE
D5,COVERAGE RISK TYPE
D6,MEDICAL STOP LOSS LEVEL CODES
D7,MEDICAL STOP LOSS COVERAGE CODES
D8,MEDICAL STOP LOSS PRODUCT LINE CODES
DA,AUTOMOBILE REPAIR PRODUCT CODE
DD,DISTRIBUTOR
DE,DESIGN NUMBER
