Value,Description
1,STREET NUMBER
10,ZIP CODE (5 DIGIT)
11,ZIP CODE ADDENDUM (4 DIGIT)
12,BUILDING NAME
13,APARTMENT NUMBER
14,SUITE NUMBER
15,UNSTRUCTURED STREET ADDRESS
16,UNSTRUCTURED CITY AND STATE AND ZIP CODE
17,UNSTRUCTURED CITY AND STATE
18,UNSTRUCTURED MAILING ADDRESS
19,ZIP CODE (9 DIGIT)
2,STREET NAME
20,COUNTY
21,SUBDIVISION
22,MAP COORDINATES AND DIRECTIONS
23,CONTINENT
24,STATE OR PROVINCE ABBREVIATION
25,TOWNSHIP
26,MUNICIPALITY
27,SUB-BARRIO
28,ASSOCIATION NAME
29,PARKING UNIT NUMBER
3,PREFIX DIRECTION
30,PIER
31,WING
32,FLOOR
33,DRIVEWAY
34,LOT
35,ROOM
36,SLIP
37,UNIT
38,PROPERTY ADDRESS
39,UNSTRUCTURED PROPERTY
4,SUFFIX DIRECTION
40,STREET SUFFIX
41,COUNTRY
42,HOUSE NUMBER PREFIX
43,HOUSE NUMBER SUFFIX
5,P.O. BOX NUMBER
51,DRAWER NUMBER
52,FOREIGN REGION OR PROVINCE
53,POSTAL DISTRICT
54,STREET NUMBER ALPHA
56,PROVINCE
57,CROSS STREET
58,INTERNATIONAL POSTAL CODE
59,STREET NUMBER LOW
6,RURAL ROUTE NUMBER
60,STREET NUMBER HIGH
61,STREET NUMBER FRACTION
62,STREET NAME SUFFIX
63,SECONDARY UNIT IDENTIFIER
64,SECONDARY UNIT NUMBER
65,ZIP CODE DELIVERY POINT ADDENDUM
66,ZIP CODE DELIVERY POINT BARCODE (DPBC) CHECKDIGIT
67,POSTAL SERVICE CARRIER ROUTE
68,POSTAL SERVICE CARRIER ROUTE LINE OF TRAVEL (LOT)
69,POSTAL SERVICE ADDRESS CHANGE SERVICE (ACS) KEYLINE
7,CITY NAME
71,CONGRESSIONAL DISTRICT CODE
74,ZIP CODE (11 DIGIT)
79,INTERNATIONAL ORGANIZATION FOR STANDARDIZATION (ISO) COUNTRY CODE
8,STATE NAME
80,STREET NAME PREFIX
83,PRIVATE MAIL BOX (PMB)
85,URBANIZATION
9,STATE POSTAL CODE
90,ACCESS CUSTOMER TERMINAL LOCATION (ACTL)
91,ADDITIONAL POINT OF TERMINATION (APOT)
92,LOCAL SERVICE TERMINATION (LST)
93,SPECIFIC POINT OF INTERFACE (XPOI)
94,SECTION
96,RANGE
97,GEOGRAPHICAL AREA
AA,HIGH EVEN STREET NUMBER
AB,HIGH ODD STREET NUMBER
AC,LOW EVEN STREET NUMBER
AD,LOW ODD STREET NUMBER
AE,SECONDARY ADDRESS HIGH
AF,SECONDARY ADDRESS LOW
AG,HIGH EVEN SECONDARY ADDRESS
AH,HIGH ODD SECONDARY ADDRESS
AI,LOW EVEN SECONDARY ADDRESS
AJ,LOW ODD SECONDARY ADDRESS
AK,BUILDING NUMBER
