Value,Description
1,LIMITING OPERATION
10,MAJOR GRADE
11,"SOCIETY, GOVERNMENT, CUSTOMER SPECIFICATIONS"
12,TYPE AND/OR PROCESS
13,QUALITY (QUALITY LEVEL)
14,FINISH OR SURFACE ROUGHNESS
15,HEAT TREAT/ANNEAL
16,TEMPER
17,COATING
18,"SURFACE TREATMENT, CHEMICAL"
19,"SURFACE TREATMENT, MECHANICAL"
2,GENERAL PRODUCT FORM
20,"ENDS: SLITTING, SPLITTING, CUTTING"
21,FORMING
22,EDGE TREATMENT
23,WELDS/SPLICES
25,END TREATMENT
28,TEST SAMPLE FREQUENCY
29,TEST SAMPLE LOCATION
3,PRESERVATIVE
30,TEST SAMPLE DIRECTION
32,TYPE OF TEST/INSPECTION
33,TESTING AND INSPECTION AGENCIES
34,FILAMENT
35,COLOR
36,DENIER
37,FIBER
38,GRADE
39,LUSTER
4,PARAMETER
40,SHADE
41,TINT
42,TOW
43,TWIST
44,BACTERIOLOGY
45,WHOLE EFFLUENT TOXICITY
46,SEDIMENT TOXICITY
5,CATEGORY
54,SECTION PROFILE
55,ALLOY
56,SPECIAL PROCESSING
58,WINDING INSTRUCTIONS
59,SURFACE PROTECTION
6,SUB-CATEGORY
60,MACHINE RUN
61,END USE APPLICATION
62,CORROSION RESISTANCE
63,PRODUCT LIFE CYCLE
64,PACKAGE INTEGRITY
65,VISUAL
66,ELECTRICAL
67,FUNCTIONAL PERFORMANCE
68,CHEMISTRY
69,PHYSICAL
70,MAGNETIC
71,MECHANICAL
72,METALLOGRAPHY
73,VENDOR COLOR DESCRIPTION
74,VENDOR SIZE DESCRIPTION
75,BUYER'S COLOR DESCRIPTION
76,DYE LOT DESCRIPTION
77,FINISH DESCRIPTION
78,PATTERN DESCRIPTION
79,PUT-UP DESCRIPTION
8,PRODUCT
80,MILSPEC (MILITARY SPECIFICATION)
81,FEDSPEC (FEDERAL SPECIFICATION)
82,FED-STD (FEDERAL STANDARD)
83,CID (COMMERCIAL ITEM DESCRIPTION)
84,SPECIAL SPECIFICATION
85,APPEARANCE
86,DISPERSION
87,FLUID
88,FLOW
89,MOISTURE
9,SUB-PRODUCT
90,DENSITY
91,BUYER'S ITEM SIZE DESCRIPTION
92,FABRIC DESCRIPTION
93,SHIPPING UNIT COMPONENT
94,TYPE SPINNING
95,WAX CODE
96,ELECTRONICALLY CLEANED
97,CONDITIONED CODE
99,PRECAUTIONARY INSTRUCTIONS
9A,MANUFACTURING METHOD
9B,PRODUCT APPLICATION
9C,ENGINE
9D,TRANSMISSION
AA,ASSEMBLY REQUIRED
AB,CONSTRUCTION
AC,CONSUMER INSTRUCTIONS
AD,SHELF TAG
AE,FRAGRANCE
AF,EDITOR
AG,TRANSLATOR
AGE,AGE
AH,MATERIAL
AI,NUTRITION
AJ,RECYCLE
AK,SILHOUETTE
AL,DISCHARGE
AT,PROCESS ACTION TAKEN
B8,"BUREAU OF ALCOHOL, TOBACCO AND FIREARMS CLASS CODE"
BC,BEHIND-THE-COUNTER DRUGS
BCC,"BEVERAGE CONTENTS CHARACTERISTICS, (E.G., KOSHER, NO SULFITES, ET"
