Value,Description
A,CONSOLIDATED WEIGHT
A1,DIMENSIONAL WEIGHT
A2,REWEIGHED BY CARRIER
A3,SHIPPERS WEIGHT
A4,AVERAGE WEIGHT PER LOAD
B,BILLED WEIGHT
C,ACTUAL NET REPEATED FOR COMBINATION
CD,CHARGEABLE DUNNAGE
CE,CERTIFIED WEIGHT OF CARGO
D,DESTINATION WEIGHT AGREEMENT
DR,DRAINED WEIGHT
E,ESTIMATED NET WEIGHT
F,DEFICIT WEIGHT
FR,FREIGHT WEIGHT
G,GROSS WEIGHT
H,WEIGHT PER 100 FEET
I,WEIGHT PER 1000 FEET
J,LIGHT WEIGHT
K,CLEAN OUT
L,LEGAL WEIGHT
LC,MAXIMUM LADING CAPACITY
M,MINIMUM WEIGHT (FOR RATE)
N,ACTUAL NET WEIGHT
ND,NONCHARGEABLE DUNNAGE
NI,NON-TEMPORARY STORAGE WEIGHT IN
NR,NON-TEMPORARY STORAGE WEIGHT RE-HANDLED
NT,NON-TEMPORARY STORAGE WEIGHT OUT
O,EXCESS WEIGHT OVER MAXIMUM
P,WEIGHT PER 100 UNITS
PA,PALLET WEIGHT
Q,WEIGHT PER 1000 UNITS
R,PER UNIT DUNNAGE
RG,REWEIGH GROSS WEIGHT
RN,REWEIGH NET WEIGHT
RT,REWEIGH TARE WEIGHT
S,STATE WEIGHT
SF,STORAGE IN TRANSIT FINAL WEIGHT OUT
SI,STORAGE IN TRANSIT WEIGHT IN
SK,SKID WEIGHT
SO,STORAGE IN TRANSIT WEIGHT OUT
T,TARE WEIGHT
U,WEIGHT PER UNIT
V,NON TRANSIT WEIGHT (ON TRANSIT BILLS ONLY)
W,TRANSIT WEIGHT (ON TRANSIT BILLS ONLY)
WA,ADMINISTRATIVE WEIGHT ALLOWANCE
WB,UNACCOMPANIED BAGGAGE WEIGHT
WG,PROFESSIONAL GEAR WEIGHT
WJ,JOINT TRAVEL REGULATION WEIGHT
WX,NET EXPLOSIVE WEIGHT
X,MAXIMUM WEIGHT (FOR RATE)
Y,THEORETICAL WEIGHT
Z,MUTUALLY DEFINED
