Value,Description
4,46 LEVEL DOT CODE
6,AIRLINE TARIFF 6D
9,"TITLE 49, CODE OF FEDERAL REGULATIONS (CFR)"
A,INTERNATIONAL CIVIL AVIATION ORGANIZATION (ICAO) CODE
B,UNIFORM FIRE CODE (UFC)
C,STORAGE COMPATIBILITY GROUP
D,"HAZARDOUS MATERIALS ID, DOT"
E,ENDORSEMENT
F,AIR FORCE JOINT MANUAL 24-204
I,INTERGOVERNMENTAL MARITIME ORGANIZATION (IMO) CODE
R,BUREAU OF EXPLOSIVES (BOE) 6000 TARIFF
T,INTERNATIONAL AIR TRANSPORT ASSOCIATION DANGEROUS GOODS CODE LIST
U,UNITED NATIONS
X,HAZARD CLASS OR DIVISION
