Value,Description
1,DEATH OF PRINCIPAL MORTGAGOR
10,NEIGHBORHOOD PROBLEM
11,PROPERTY PROBLEM
12,INABILITY TO SELL PROPERTY
13,INABILITY TO RENT PROPERTY
14,MILITARY SERVICE
15,DEFAULT DETAIL
16,UNEMPLOYMENT
17,BUSINESS FAILURE
18,BANKRUPTCY
19,CASUALTY LOSS
2,ILLNESS OF PRINCIPAL MORTGAGOR
20,MOVED - VACATED
21,DISSATISFIED WITH PROPERTY
22,ENERGY-ENVIRONMENT COST
23,SERVICING PROBLEMS
24,AUTO REPAIRS
25,EXTENDED REASONS
26,PAYMENT ADJUSTMENT
27,PAYMENT DISPUTE
28,DUE ON TRANSFER
29,TRANSFER OF OWNERSHIP PENDING
3,ILLNESS OF MORTGAGOR'S FAMILY MEMBER
30,FRAUD
31,UNABLE TO CONTACT BORROWER
32,AIR TRAFFIC CONTROL DELAY
33,DELIVERY COMMITMENT WAIVED BY THE CUSTOMER
35,BORROWER ACTION
36,AUTOMATIC CONVERSION
37,LENDER APPROVAL REQUIRED
38,LENDER APPROVAL NOT REQUIRED
39,OWNER-OCCUPIED LOAN OUTSTANDING
4,DEATH OF MORTGAGOR'S FAMILY MEMBER
40,LOAN REACHED MATURITY
41,TRIGGERED BY INTEREST INCREASE
42,SPECIFIED TIME PERIOD COMPLETED
43,TRANSFER WITHOUT WRITTEN NOTICE
44,TRIGGERED BY PAYMENT INCREASE
45,FACILITY ADDED
46,FACILITY CHANGED
47,LOCATION ADDED
48,LOCATION CHANGED
49,MERCHANDISE DAMAGED OR DESTROYED
5,MARITAL DIFFICULTIES
50,INTERNAL SYSTEMS PROBLEMS
51,VENDOR-SUPPLIED CARRIER DELAY
52,IMPORT CONTAINER DELAY
53,NOTICE OF TERM ENROLLMENT
54,TERM GRADE REPORT
55,CHANGE OF VENUE GRANTED
56,REMOVED TO FEDERAL COURT
57,FORECLOSURE COMPLETED
58,SERVICING RIGHTS TRANSFERRED TO NON-MEMBER
59,INVESTOR IS PULLING SERVICING AS A RESULT OF DEFAULT
6,CURTAILMENT OF INCOME
60,SERVICER PULLING SERVICING FROM SUB-SERVICER AS A RESULT OF DEFAU
61,"CONSOLIDATION, EXTENSION, MODIFICATION (CEM)"
62,RENEWAL AND EXTENSION
63,REINSTATEMENT - LOAN NOT REASSIGNED TO MORTGAGE ELECTRONIC REGIST
64,MEMBER RESIGNATION OR EXPULSION
68,STATE ACTION
69,COMPANY ACTION
7,"EXCESSIVE OBLIGATIONS - SAME INCOME, INCLUDING HABITUAL NONPAYMEN"
70,VOLUNTARY SURRENDER
71,PRODUCER REQUESTED
72,AWAITING STATE CONFIRMATION
73,CONTINUING EDUCATION NON-COMPLIANCE
74,NON-RENEWAL
75,FOR CAUSE
76,LACK OF PRODUCTION
77,RETIRED
78,DISABILITY
79,REQUESTED IN ERROR
8,ABANDONMENT OF PROPERTY
80,CONTINUING MEDICAL EDUCATION (CME)
81,FACULTY APPOINTMENT
82,HEALTH CARE FELLOWSHIP APPOINTMENT
83,HEALTH CARE INTERNSHIP APPOINTMENT
84,HEALTH CARE RESIDENCY APPOINTMENT
85,OWNERSHIP CHANGE DUE TO FLOW SALE OF SERVICING RIGHTS
86,OWNERSHIP CHANGE DUE TO BULK SALE OF SERVICING RIGHTS
87,COLLEGE PREPARATORY DIPLOMA
88,ACCURATE
89,CALCULATED
9,DISTANT EMPLOYMENT TRANSFER
90,NOT SELECTED
91,REPROCESSED
92,SELECTED
93,NOT VERIFIED
94,WITHIN TOLERANCE
95,WITHOUT DOCUMENTATION
96,NOT AVAILABLE
97,PART-TIME
A01,MISSED DELIVERY
A02,RELEASE SIGNATURE OR RELEASE NUMBER
A03,INCORRECT ADDRESS
A04,INDIRECT DELIVERY
A05,UNABLE TO LOCATE
