Value,Description
0,CONTRACTING DISTRICT NUMBER
01A,CATALOG OF FEDERAL DOMESTIC ASSISTANCE
01B,UNION AGREEMENT
01C,MILITARY STANDARD REQUISITIONING AND ISSUE PROCEDURES (MILSTRIP)
01D,FEDERAL STANDARD REQUISITIONING AND ISSUE PROCEDURES (FEDSTRIP) D
01E,FEDERAL SUPPLY SCHEDULE SPECIAL (FSS) ITEM NUMBER
01G,PAYMENT RELATED CLAUSE
01H,SPECIAL PRICE AUTHORIZATION NUMBER
0A,SUPERVISORY APPRAISER CERTIFICATION NUMBER
0B,STATE LICENSE NUMBER
0D,SUBJECT PROPERTY VERIFICATION SOURCE
0E,SUBJECT PROPERTY REFERENCE NUMBER
0F,SUBSCRIBER NUMBER
0G,REVIEWER FILE NUMBER
0H,COMPARABLE PROPERTY PENDING SALE REFERENCE NUMBER
0I,COMPARABLE PROPERTY SALE REFERENCE NUMBER
0J,SUBJECT PROPERTY NON-SALE REFERENCE NUMBER
0K,POLICY FORM IDENTIFYING NUMBER
0L,REFERENCED BY
0M,MORTGAGE IDENTIFICATION NUMBER
0N,ATTACHED TO
0P,REAL ESTATE OWNED PROPERTY IDENTIFIER
1,AMERICAN BANKERS ASSOC. (ABA) TRANSIT/ROUTING NUMBER (INCLUDING C
10,ACCOUNT MANAGERS CODE
11,ACCOUNT NUMBER
12,BILLING ACCOUNT
13,HORIZONTAL COORDINATE
14,MASTER ACCOUNT NUMBER
15,VERTICAL COORDINATE
16,MILITARY INTERDEPARTMENTAL PURCHASE REQUEST (MIPR) NUMBER
17,CLIENT REPORTING CATEGORY
18,PLAN NUMBER
19,DIVISION IDENTIFIER
1A,BLUE CROSS PROVIDER NUMBER
1B,BLUE SHIELD PROVIDER NUMBER
1C,MEDICARE PROVIDER NUMBER
1D,MEDICAID PROVIDER NUMBER
1E,DENTIST LICENSE NUMBER
1F,ANESTHESIA LICENSE NUMBER
1G,PROVIDER UPIN NUMBER
1H,CHAMPUS IDENTIFICATION NUMBER
1I,DEPARTMENT OF DEFENSE IDENTIFICATION CODE (DODIC)
1J,FACILITY ID NUMBER
1K,PAYOR'S CLAIM NUMBER
1L,GROUP OR POLICY NUMBER
1M,PREFERRED PROVIDER ORGANIZATION SITE NUMBER
1N,DIAGNOSIS RELATED GROUP (DRG) NUMBER
1O,CONSOLIDATION SHIPMENT NUMBER
1P,ACCESSORIAL STATUS CODE
1Q,ERROR IDENTIFICATION CODE
1R,STORAGE INFORMATION CODE
1S,AMBULATORY PATIENT GROUP (APG) NUMBER
1T,RESOURCE UTILIZATION GROUP (RUG) NUMBER
1U,PAY GRADE
1V,RELATED VENDOR ORDER NUMBER
1W,MEMBER IDENTIFICATION NUMBER
1X,CREDIT OR DEBIT ADJUSTMENT NUMBER
1Y,REPAIR ACTION NUMBER
1Z,FINANCIAL DETAIL CODE
2,SOCIETY FOR WORLDWIDE INTERBANK FINANCIAL TELECOMMUNICATION (S.W.
20,REPAIR PART NUMBER
