Value,Description
0,REGION
1,SERVICE/BILLING PROVIDER
19,PROVIDER OF SERVICE
2,BILLING ARRANGEMENT
20,INFORMATION SOURCE
21,INFORMATION RECEIVER
22,SUBSCRIBER
23,DEPENDENT
24,SUPERGROUP
25,SUBGROUP
26,MEMBER
27,ANCILLARY FACILITY OR DEPARTMENT
28,HOSPITAL
29,FRANCHISOR
2A,BRANCH
2B,DIRECT AFFILIATE
2C,DIRECTOR
2D,HEADQUARTERS
2E,INDIRECT AFFILIATE
2F,MANAGEMENT ANTECEDENTS
2G,MANAGEMENT OR PRINCIPAL
2H,PARENT COMPANY
2I,STOCKHOLDER
2J,SUBSIDIARY
2K,ULTIMATE DOMESTIC PARENT COMPANY
2L,ULTIMATE PARENT COMPANY
3,SUB-BILLING ARRANGEMENT
30,FRANCHISEE
31,FRANCHISEE ASSOCIATION
32,HEALTH INDUSTRY BUSINESS COMMUNICATIONS COUNCIL (HIBCC) HEALTH IN
33,ACTIVITY
34,LOCATION RECORD
35,COMPANY/CORPORATION
36,OPERATING UNIT
37,PROPERTY
38,TRADENAME
39,ACCOUNTANT
4,GROUP
40,FINANCIAL INSTITUTION
41,PRODUCT LEVEL
42,ACTIVITY DETAILS
43,PAYMENT SUMMARY SCORE
44,CORPORATE REGISTRATION FILINGS
45,BANKRUPTCY DETAILS
46,COMPANY HISTORY
47,COMPLETE FINANCIAL HISTORY
48,BALANCE SHEET
49,COMPARATIVE FIGURES
5,CATEGORY
50,PAYMENT ANALYSIS
51,SPECIAL NOTIFICATION
52,PUBLIC RECORD FINANCING DETAILS
53,PUBLIC RECORD FINANCING SUMMARY
54,PUBLIC RECORD CLAIM DETAILS
55,PUBLIC RECORD CLAIM SUMMARY
56,STATEMENT OF WORK
57,LEGAL ACTION DETAILS
58,LEGAL ACTION SUMMARY
59,COMPANY EVALUATION
6,SUB-CATEGORY
60,COMPANY SUMMARY
61,CREDIT SCORES
62,INDUSTRY AVERAGES
63,REFERRING PROVIDER
64,EMPLOYEE
65,INSURANCE POLICY
66,VEHICLE
67,KEY CONTRIBUTOR
68,PUBLIC RECORD SUMMARY
69,DELINQUENCY PROJECTIONS
7,TYPE
70,TEMPORARY SERVICES DETAIL
71,OVERNIGHT SHIPPING DETAIL
72,MEDICAL SUPPLY DETAIL
73,EQUIPMENT LEASING DETAIL
8,CHARGE DETAIL
9,LINE DETAIL
A,ASSEMBLY
AA,INSURER
AB,CLAIM ADMINISTRATOR
AC,INSURED
AD,ADMINISTRATIVE INFORMATION
AE,CAR RENTAL DETAIL
AF,LODGING DETAIL
AG,AGENT
AH,TRANSPORTATION DETAIL
AI,PURCHASE CARD DETAIL
AJ,ALTERNATE TAXING AUTHORITY
AL,ALTERNATE SPECIFICATION - LIFT LEVEL
AM,AMOUNT INFORMATION
AP,CREDENTIAL ACTION
AS,ANIMAL SUBJECT GROUP
AT,ACCOUNT
B,BUYER'S LOCATION
BD,BUILDING
BE,BUSINESS ENTITY
BP,BODY PART
C,DATE
CB,CONTRACTHOLDER BRANCH OFFICE
CC,COST CENTER
CE,COST ELEMENT
CH,CONTRACTHOLDER
CI,CAUSE OF INJURY
CL,CLAIMANT
CN,CONTAINER
CO,CONSORTIUM
CP,CLIENT OR PARTY
CT,COST TYPE
CV,"COVERAGE, RIDER, OR SUPPLEMENTARY BENEFIT"
D,PRODUCT DESCRIPTION
DG,DRAWING
DM,DAMAGE
DP,DEPARTMENT
DS,DISTRICT
E,TRANSPORTATION EQUIPMENT
EB,FILER
EC,RECEIPTS
ED,ENGINEERING DATA LIST
EF,EXPENDITURES
EG,RECEIVABLES
EH,PAYABLES
EI,ORGANIZATIONAL INFORMATION
EL,EXHIBIT LINE ITEM
EM,EMPLOYER
EN,END ITEM
EV,EVENT
EX,EXCEPTION
F,COMPONENT
FC,FUNCTION CODE
FG,FUNCTIONAL GROUP
FI,FINANCIAL INFORMATION
FL,FLEET
FR,FRAME
G,QUALITY CHARACTERISTICS
GC,GROUP COVERAGE OPTIONS
GP,GROUP PURCHASING ORGANIZATION
GW,GROUP WORK CANDIDATE
H,BILL OF MATERIALS
I,ITEM
IA,SUBLINE ITEM
IB,CONTRACT
IC,CONTRACT DATA REQUIREMENTS LIST (CDRL)
IN,INTERCHANGE
IS,INSTALLMENTS
IT,INSTITUTION
IV,INDIVIDUAL
J,PART CHARACTERISTIC
JU,JURISDICTION
