Value,Description
1,CASING TYPE
10,SHIPPING PACKAGE LABELING
11,SHIPPING PACKAGE SEALING
12,PRIMARY MARKING
13,SECONDARY MARKING
2,RECYCLE CODE
34,PRODUCT MARKING
35,TYPE OF PACKAGE
36,PACKAGE SPECIFICATIONS
37,PACKAGE PROTECTION
38,TARPING
39,PLATFORM/SKID LOCATION
40,BEARING PIECE LOCATION
42,PLACEMENT ON CARRIER
43,SPACING DIRECTIONS
44,UNLOADING DEVICE
45,UNLOADING EQUIPMENT
60,PRODUCT MARKING PATTERN
61,PRODUCT MARKING LOCATION
62,PACKAGE/CONTAINER MARK LOCATION
63,MARKING METHOD
65,CORE CHARACTERISTICS
66,RECEIVING FACILITY LIMITATIONS
67,TAGGING/BAR CODE INSTRUCTIONS
68,SKID/PALLET TYPE
CB,CONTAINER TYPE
CC,CONTAINER CHARACTERISTICS
CD,CLEANING OR DRYING PROCEDURE
CS,CONTAINER SHAPE
CT,CUSHIONING THICKNESS
CUD,CUSHIONING AND DUNNAGE
HM,HAZARDOUS MATERIAL
IC,INTERMEDIATE CONTAINER
IP,INTERMEDIATE PACK
LP,LEVEL OF PRESERVATION
OPI,OPTIONAL PROCEDURE INDICATOR
PK,PACKING
PM,PRESERVATION METHOD
PML,PRESERVATION MATERIAL
PN,PROMOTIONAL MARKING
SMK,SPECIAL MARKING
UC,UNIT CONTAINER
UCL,UNIT CONTAINER LEVEL
UP,UNIT PACK
WM,WRAPPING MATERIAL
