Element,Description,Req,Min Length,Max Length,Type
MSG01,Free-Form Message Text,M,1,264,AN
MSG01,Message Type Identifier,M,1,6,AN
MSG02,Printer Carriage Control Code,C,2,2,ID
MSG02,Version,M,1,9,AN
MSG03,Release,M,1,9,AN
MSG03,Number,O,1,9,N0
MSG04,Control Agency,M,1,2,AN
MSG05,Association Assigned Identification,M,1,6,AN
MSG06,Revision Number,M,1,6,AN
MSG07,"Document/Message Status, Coded",M,1,3,ID
MSG08,"Class Designator, Coded",C,1,3,ID
MSG09,"Maintance Operation, Coded",C,1,3,ID
