Element,Description,Req,Min Length,Max Length,Type
EFI01,File Name,M,1,35,AN
EFI01,Security Level Code,M,2,2,ID
EFI02,Item Description,M,1,35,AN
EFI02,Free-Form Message Text,O,1,264,AN
EFI03,File Format,C,1,17,AN
EFI03,Security Technique Code,O,2,2,ID
EFI04,Version,C,1,9,AN
EFI04,Version Identifier,C,1,30,AN
EFI05,"Data Format, Coded",C,1,3,ID
EFI05,Program Identifier,O,1,30,AN
EFI06,Data Format,C,1,35,AN
EFI06,Version Identifier,C,1,30,AN
EFI07,Sequence Number,C,1,10,AN
EFI07,Interchange Format,O,1,30,AN
EFI08,Version Identifier,C,1,30,AN
EFI09,Compression Technique,O,1,30,AN
EFI10,Drawing Sheet Size Code,O,2,2,AN
EFI11,File Name,O,1,64,AN
EFI12,Block Type,O,1,4,AN
EFI13,Record Length,O,1,15,N0
EFI14,Block Length,O,1,5,N0
EFI15,Version Identifier,C,1,30,AN
EFI16,Filter Id Code,C,3,3,ID
