Element,Description,Req,Min Length,Max Length,Type
ITD01,Terms Type Code,O,2,2,ID
ITD02,Terms Basis Date Code,O,1,2,ID
ITD03,Terms Discount Percent,O,1,6,R6
ITD04,Terms Discount Due Date,C,8,8,DT
ITD05,Terms Discount Days Due,C,1,3,N0
ITD06,Terms Net Due Date,O,8,8,DT
ITD07,Terms Net Days,O,1,3,N0
ITD08,Terms Discount Amount,O,1,10,N2
ITD09,Terms Deferred Due Date,O,8,8,DT
ITD10,Deferred Amount Due,C,1,10,N2
ITD11,Percent Of Invoice Payable,C,1,5,R5
ITD12,Description,O,1,80,AN
ITD13,Day Of Month,C,1,2,N0
ITD14,Payment Method Type Code,O,1,2,ID
ITD15,Percentage As Decimal,O,1,10,R
