Element,Description,Req,Min Length,Max Length,Type
MEA01,Measurement Purpose Qualifier,M,1,3,ID
MEA01,Measurement Reference Id Code,O,2,2,ID
MEA02,"Property Mesured, Coded",C,1,3,ID
MEA02,Measurement Qualifier,O,1,3,ID
MEA03,"Measurement Significance, Coded",C,1,3,ID
MEA03,Measurement Value,C,1,20,R
MEA04,Measurement Attribute Identification,C,1,17,ID
MEA04,Unit Or Basis For Measurement Code,C,2,2,ID
MEA05,Measurement Attribute,C,1,70,AN
MEA05,Exponent,C,1,15,R
MEA06,Measure Unit Qualifier,C,1,3,lD
MEA06,Multiplier,C,1,10,R
MEA07,Measurement Value,C,1,18,AN
MEA07,Unit Or Basis For Measurement Code,C,2,2,ID
MEA08,Exponent,C,1,15,R
MEA08,Range Minimum,C,1,18,R
MEA09,Multiplier,C,1,10,R
MEA09,Range Maximum,C,1,18,R
MEA10,Unit Or Basis For Measurement Code,C,2,2,ID
MEA10,Significant Digits,C,1,2,N0
MEA11,"Surface/Layer Indicator, Coded",C,1,3,ID
MEA11,Exponent,C,1,15,R
MEA12,Multiplier,C,1,10,R
MEA13,Unit Or Basis For Measurement Code,C,2,2,ID
MEA14,Exponent,C,1,15,R
MEA15,Multiplier,C,1,10,R
MEA16,Unit Or Basis For Measurement Code,C,2,2,ID
MEA17,Exponent,C,1,15,R
MEA18,Multiplier,C,1,10,R
MEA19,Range Minimum,C,1,20,R
MEA20,Range Maximum,C,1,20,R
MEA21,Measurement Significance Code,O,2,2,ID
MEA22,Measurement Attribute Code,C,2,2,ID
MEA23,Surface/Layer/Position Code,O,2,2,ID
MEA24,Measurement Method Or Device,O,2,4,ID
MEA25,Code List Qualifier Code,C,1,3,ID
MEA26,Industry Code,C,1,30,AN
