Element,Description,Req,Min Length,Max Length,Type
TAX01,Tax Identification Number,C,1,20,AN
TAX01,Duty/Tax/Fee Function Qualifier,M,1,3,ID
TAX02,"Duty/Tax/Fee Type, Coded",C,1,3,ID
TAX02,Location Qualifier,C,1,2,ID
TAX03,Location Identifier,C,1,30,AN
TAX03,Code List Qualifier,C,1,3,ID
TAX04,"Code List Responsible Agency, Coded",C,1,3,ID
TAX04,Location Qualifier,C,1,2,ID
TAX05,Duty/Tax/Fee Type,C,1,35,AN
TAX05,Location Identifier,C,1,30,AN
TAX06,Duty/Tax/Fee Account Identification,C,1,6,AN
TAX06,Location Qualifier,C,1,2,ID
TAX07,Location Identifier,C,1,30,AN
TAX07,Code List Qualifier,C,1,3,ID
TAX08,"Code List Responsible Agency, Coded",C,1,3,ID
TAX08,Location Qualifier,C,1,2,ID
TAX09,Duty/Tax/Fee Assessment Basis,C,1,15,AN
TAX09,Location Identifier,C,1,30,AN
TAX10,Duty/Tax/Fee Rate Identification,C,1,7,AN
TAX10,Location Qualifier,C,1,2,ID
TAX11,Location Identifier,C,1,30,AN
TAX11,Code List Qualifier,C,1,3,ID
TAX12,"Code List Responsible Agency, Coded",C,1,3,ID
TAX12,Tax Exempt Code,O,1,1,ID
TAX13,Duty/Tax/Fee Rate,C,1,17,AN
TAX13,Customs Entry Type Group Code,O,1,1,ID
TAX14,Duty/Tax/Fee Rate Basis Identification,C,1,12,ID
TAX15,Code List Qualifier,C,1,3,ID
TAX16,"Code List Responsible Agency, Coded",C,1,3,ID
TAX17,"Duty/Tax/Fee Category, Coded",C,1,3,ID
TAX18,Party Tax Identification Number,C,1,20,AN
