Element,Description,Req,Min Length,Max Length,Type
INC01,Terms Type Code,M,2,2,ID
INC02,Unit Or Basis For Measurement Code,M,2,2,ID
INC03,Exponent,M,1,15,R
INC04,Multiplier,M,1,10,R
INC05,Unit Or Basis For Measurement Code,M,2,2,ID
INC06,Exponent,M,1,15,R
INC07,Multiplier,M,1,10,R
INC08,Unit Or Basis For Measurement Code,M,2,2,ID
INC09,Exponent,M,1,15,R
INC10,Multiplier,M,1,10,R
INC11,Unit Or Basis For Measurement Code,M,2,2,ID
INC12,Exponent,M,1,15,R
INC13,Multiplier,M,1,10,R
INC14,Unit Or Basis For Measurement Code,M,2,2,ID
INC15,Exponent,M,1,15,R
INC16,Multiplier,M,1,10,R
INC17,Quantity,M,1,15,R
INC18,Quantity,O,1,15,R
INC19,Monetary Amount,C,1,18,R
INC20,Amount Qualifier Code,C,1,3,ID
